category,date,time,gender,tour_level,tournament,round,match,player_name,opponent_name,player_key,opponent_key,player_api_key,opponent_api_key,player_canonical_key,opponent_canonical_key,mapping_status,match_status,elo_no_bet_reason,odds,result,old_profit,stake
min_level_not_met,2026-05-17,15:10,men,qualifying,Hamburg,ATP Hamburg - Final,A. Kovacevic - A. Gea,A. Gea,A. Kovacevic,9210,2978,men:api:9210,men:api:2978,men:sackmann:210338,men:sackmann:206499,mapped,matched_by_date_gender_pair_ambiguous,min_level_not_met,1.94,win,0.94,1.0
min_level_not_met,2026-05-17,11:00,men,qualifying,Geneva,ATP Geneva - Final,J. Duckworth - E. Butvilas,J. Duckworth,E. Butvilas,1900,9362,men:api:1900,men:api:9362,men:sackmann:105902,men:sackmann:210220,mapped,matched_by_date_gender_pair,min_level_not_met,2.26,loss,-1.5,1.5
min_level_not_met,2026-05-18,12:00,women,wta,Rabat,WTA Rabat - 1/16-finals,H. Vandewinkel - P. Udvardy,P. Udvardy,H. Vandewinkel,1141,9254,women:api:1141,women:api:9254,women:sackmann:215910,women:sackmann:243420,mapped,matched_by_date_gender_pair,min_level_not_met,1.91,win,0.91,1.0
min_level_not_met,2026-05-25,14:30,women,wta,French Open,WTA French Open - 1/64-finals,K. Quevedo - L. Jeanjean,K. Quevedo,L. Jeanjean,13647,9118,women:api:13647,women:api:9118,women:sackmann:259733,women:sackmann:206417,mapped,matched_by_date_gender_pair,min_level_not_met,2.1,win,1.65,1.5
min_level_not_met,2026-05-26,12:00,men,challenger,Kosice,Kosice - 1/16-finals,K. Bennani - F. Bondioli,K. Bennani,F. Bondioli,38298,37892,men:api:38298,men:api:37892,men:sackmann:211558,men:sackmann:210682,mapped,matched_by_match_id,min_level_not_met,2.63,loss,-1.25,1.25
min_level_not_met,2026-05-26,14:55,men,challenger,Centurion (South Africa) - Qualification,Centurion - 1/16-finals,L. Koenig - D. Palan,L. Koenig,D. Palan,14347,741,men:api:14347,men:api:741,men:sackmann:209879,men:sackmann:208158,mapped,matched_by_match_id,min_level_not_met,2.41,win,1.7625,1.25
min_level_not_met,2026-05-26,11:55,men,challenger,Centurion (South Africa) - Qualification,Centurion - 1/16-finals,R. Strombachs - R. Bertrand,R. Strombachs,R. Bertrand,7489,808,men:api:7489,men:api:808,men:sackmann:207669,men:sackmann:209850,mapped,matched_by_match_id,min_level_not_met,1.95,win,1.1875,1.25
min_level_not_met,2026-05-27,13:30,men,challenger,Centurion (South Africa) - Qualification,Centurion - 1/8-finals,G. Hussey - D. Badenhorst,D. Badenhorst,G. Hussey,14373,627,men:api:14373,men:api:627,men:sackmann:209280,men:sackmann:208144,mapped,matched_by_match_id,min_level_not_met,2.23,loss,-1.5,1.5
min_level_not_met,2026-05-27,19:30,women,itf,"W15 Lakewood, CA","W15 Lakewood, CA - 1/16-finals",J. Chan - A. Wang,J. Chan,A. Wang,84315,2225,women:api:84315,women:api:2225,women:sackmann:270125,women:sackmann:270480,mapped,matched_by_match_id,min_level_not_met,1.9,loss,-1.0,1.0
min_level_not_met,2026-05-28,10:00,men,challenger,Centurion (South Africa) - Qualification,Centurion - 1/8-finals,Y. Takahashi - E. Winter,Y. Takahashi,E. Winter,2508,3318,men:api:2508,men:api:3318,men:sackmann:126208,men:sackmann:210399,mapped,matched_by_match_id,min_level_not_met,2.3,loss,-1.5,1.5
min_level_not_met,2026-05-29,13:30,men,challenger,Vicenza,Vicenza - Quarter-finals,C. H. Tseng - P. Martin Tiffon,P. Martin Tiffon,C. H. Tseng,1338,389,men:api:1338,men:api:389,men:sackmann:207546,men:sackmann:202358,mapped,matched_by_match_id,min_level_not_met,1.93,loss,-1.0,1.0
