side,api_key,api_player_id,gender,player_name,appearances,wins,losses,total_stake,total_profit,sample_matches
opponent,men:api:32558,32558,men,J. J. Schwaerzler,4,2,2,5.25,1.0625,2026-05-12 | J. J. Schwaerzler - F. Agamenone | pick=F. Agamenone || 2026-05-26 | E. Dalla Valle - J. J. Schwaerzler | pick=E. Dalla Valle || 2026-05-28 | P. Martin Tiffon - J. J. Schwaerzler | pick=P. Martin Tiffon || 2026-06-01 | J. J. Schwaerzler - M. Dodig | pick=M. Dodig
player,women:api:13987,13987,women,A. Sobolieva,3,1,2,3.75,-1.125,2026-05-13 | A. Sobolieva - A. Falei | pick=A. Sobolieva || 2026-05-14 | A. Sobolieva - C. Liu | pick=A. Sobolieva || 2026-05-20 | K. Rinaldo Persson - A. Sobolieva | pick=A. Sobolieva
opponent,women:api:80930,80930,women,L. Podgorichani,3,1,2,4.0,-1.6875,2026-05-06 | J. Shin - L. Podgorichani | pick=J. Shin || 2026-05-06 | J. Shin - L. Podgorichani | pick=J. Shin || 2026-05-14 | M. Barry - L. Podgorichani | pick=M. Barry
player,men:api:1904,1904,men,N. Fatic,3,2,1,3.25,0.52,2026-05-11 | N. Fatic - D. Kuzmanov | pick=N. Fatic || 2026-05-13 | N. Fatic - E. Moller | pick=N. Fatic || 2026-05-19 | N. Fatic - L. Mikrut | pick=N. Fatic
player,men:api:37897,37897,men,R. Sakamoto,3,2,1,3.75,2.3375,2026-05-12 | R. Sakamoto - C. H. Tseng | pick=R. Sakamoto || 2026-05-13 | R. Sakamoto - A. Muller | pick=R. Sakamoto || 2026-05-19 | R. Sakamoto - P. Martinez | pick=R. Sakamoto
opponent,women:api:1807,1807,women,R. Serban,3,2,1,3.5,2.125,2026-05-13 | M. Kobori - R. Serban | pick=M. Kobori || 2026-05-22 | E. Koike - R. Serban | pick=E. Koike || 2026-06-11 | D. Zoldakova - R. Serban | pick=D. Zoldakova
player,men:api:377,377,men,B. Gojo,2,1,1,3.0,0.555,2026-05-20 | H. Rocha - B. Gojo | pick=B. Gojo || 2026-05-22 | B. Gojo - J. Rodionov | pick=B. Gojo
player,women:api:497,497,women,L. Cabrera,2,1,1,2.5,0.625,2026-05-05 | A. Ito - L. Cabrera | pick=L. Cabrera || 2026-05-15 | M. Yamaguchi - L. Cabrera | pick=L. Cabrera
opponent,women:api:172,172,women,M. Helgo,2,1,1,2.5,0.275,2026-05-14 | M. Helgo - E. Adeshina | pick=E. Adeshina || 2026-05-15 | C. Zanolini - M. Helgo | pick=C. Zanolini
opponent,women:api:1812,1812,women,Xin. Wang,2,2,0,2.5,2.7,2026-05-17 | Xin. Wang - L. Boisson | pick=L. Boisson || 2026-05-27 | T. Korpatsch - Xin. Wang | pick=T. Korpatsch
opponent,men:api:2925,2925,men,Y. Chung,2,0,2,1.75,-1.75,2026-05-15 | Y. Chung - S. Fukuda | pick=S. Fukuda || 2026-05-21 | Y. Chung - W. Shin | pick=W. Shin
player,men:api:2481,2481,men,A. Ayeni,1,0,1,1.0,-1.0,2026-05-25 | A. Ayeni - I. Ivanov | pick=A. Ayeni
opponent,men:api:15314,15314,men,A. Mehrotra,1,1,0,1.25,1.4125,2026-05-17 | A. Mehrotra - G. Lomakin | pick=G. Lomakin
player,men:api:2478,2478,men,A. Pecci,1,0,1,1.0,-1.0,2026-05-14 | A. Pecci - T. Compagnucci | pick=A. Pecci
player,women:api:218,218,women,A. Siskova,1,0,1,1.25,-1.25,2026-05-19 | K. Juvan - A. Siskova | pick=A. Siskova
opponent,men:api:24769,24769,men,A. Weber,1,1,0,1.0,1.21,2026-05-21 | A. Weber - F. Tabacco | pick=F. Tabacco
opponent,women:api:2581,2581,women,A. Zucchini,1,1,0,1.25,2.0375,2026-05-08 | C. Gennaro - A. Zucchini | pick=C. Gennaro
player,women:api:24516,24516,women,B. Jeong,1,1,0,1.0,1.75,2026-05-15 | M. Rapolu - B. Jeong | pick=B. Jeong
