model,probability_bucket,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
blend_60_40,0.50-0.55,73874,0.5351,0.248905,0.690953,0.501874,0.523817
blend_60_40,0.55-0.60,54664,0.596938,0.24077,0.674574,0.514853,0.573601
blend_60_40,0.60-0.65,38929,0.670657,0.222818,0.637913,0.542641,0.623494
blend_60_40,0.65-0.70,26036,0.735251,0.19812,0.586115,0.582126,0.673322
blend_60_40,0.70-0.75,16580,0.791978,0.169223,0.523133,0.630625,0.722806
blend_60_40,0.75-0.80,9778,0.844038,0.136611,0.448238,0.68797,0.772721
blend_60_40,0.80-0.85,4891,0.896545,0.098297,0.354022,0.75557,0.821973
blend_60_40,0.85-0.90,1864,0.936159,0.064358,0.26128,0.82233,0.869464
blend_60_40,0.90-0.95,352,0.940341,0.056437,0.228135,0.868228,0.917718
blend_60_40,0.95-1.00,22,1.0,0.001946,0.04478,0.956223,0.956223
blend_70_30,0.50-0.55,73376,0.536224,0.24886,0.690864,0.501921,0.523856
blend_70_30,0.55-0.60,53972,0.596921,0.240737,0.674506,0.514896,0.573677
blend_70_30,0.60-0.65,38604,0.667988,0.223388,0.639071,0.542077,0.623516
blend_70_30,0.65-0.70,26145,0.731153,0.199474,0.588933,0.580803,0.673403
blend_70_30,0.70-0.75,16919,0.78994,0.170226,0.525327,0.629618,0.722799
blend_70_30,0.75-0.80,10212,0.840971,0.138238,0.451862,0.686339,0.772708
blend_70_30,0.80-0.85,5236,0.892284,0.100834,0.359843,0.752985,0.821896
blend_70_30,0.85-0.90,2097,0.930377,0.068188,0.270264,0.81868,0.869698
blend_70_30,0.90-0.95,407,0.931204,0.063968,0.249586,0.861241,0.918357
blend_70_30,0.95-1.00,22,1.0,0.001803,0.04305,0.957879,0.957879
blend_80_20,0.50-0.55,72504,0.535819,0.24895,0.691044,0.501828,0.523785
blend_80_20,0.55-0.60,53062,0.594964,0.24109,0.675219,0.514543,0.573672
blend_80_20,0.60-0.65,38298,0.663298,0.2246,0.641553,0.540852,0.623471
blend_80_20,0.65-0.70,26360,0.725683,0.20144,0.593051,0.578814,0.673344
blend_80_20,0.70-0.75,17540,0.788141,0.171099,0.527231,0.6288,0.722924
blend_80_20,0.75-0.80,10668,0.833896,0.14213,0.460629,0.682516,0.772838
blend_80_20,0.80-0.85,5669,0.8864,0.104675,0.369047,0.749026,0.821716
blend_80_20,0.85-0.90,2379,0.925179,0.072004,0.280031,0.815041,0.869937
blend_80_20,0.90-0.95,476,0.939076,0.057828,0.233367,0.867098,0.918034
blend_80_20,0.95-1.00,34,0.970588,0.028453,0.131621,0.930817,0.957426
level_only,0.50-0.55,69812,0.537615,0.249354,0.691853,0.501416,0.52352
level_only,0.55-0.60,50943,0.586989,0.242189,0.677434,0.51348,0.573913
level_only,0.60-0.65,38077,0.65034,0.227854,0.64821,0.537655,0.623703
level_only,0.65-0.70,26921,0.711081,0.206645,0.603951,0.573696,0.673598
level_only,0.70-0.75,18719,0.778033,0.175348,0.536291,0.624652,0.723148
level_only,0.75-0.80,12006,0.817508,0.151049,0.480658,0.67369,0.77301
level_only,0.80-0.85,6799,0.864539,0.118666,0.402276,0.735326,0.822164
level_only,0.85-0.90,3026,0.910773,0.082895,0.308498,0.804856,0.870891
level_only,0.90-0.95,721,0.947295,0.05111,0.214541,0.873606,0.917781
level_only,0.95-1.00,60,0.933333,0.062823,0.250723,0.898275,0.959398
sample_aware,0.50-0.55,71572,0.538339,0.249035,0.691214,0.501745,0.523759
sample_aware,0.55-0.60,53267,0.591379,0.241582,0.67621,0.514056,0.573712
sample_aware,0.60-0.65,38819,0.662021,0.224951,0.642275,0.540528,0.623573
sample_aware,0.65-0.70,26568,0.724782,0.201755,0.59371,0.578528,0.673432
sample_aware,0.70-0.75,17534,0.789723,0.170301,0.525483,0.62959,0.722908
sample_aware,0.75-0.80,10662,0.83671,0.140481,0.456856,0.684145,0.772806
sample_aware,0.80-0.85,5751,0.89028,0.102191,0.363136,0.751798,0.822152
sample_aware,0.85-0.90,2310,0.931169,0.067882,0.269983,0.819296,0.870121
sample_aware,0.90-0.95,480,0.94375,0.053847,0.22165,0.870651,0.917505
sample_aware,0.95-1.00,27,1.0,0.00186,0.043797,0.957161,0.957161
surface_only,0.50-0.55,74251,0.532154,0.249498,0.692141,0.501274,0.523562
surface_only,0.55-0.60,53112,0.582806,0.242945,0.678961,0.512701,0.57376
surface_only,0.60-0.65,38158,0.644216,0.229342,0.651247,0.536166,0.623692
surface_only,0.65-0.70,26847,0.69978,0.210433,0.611836,0.569857,0.673441
surface_only,0.70-0.75,17637,0.756705,0.184944,0.556985,0.614953,0.722916
surface_only,0.75-0.80,10174,0.797916,0.161941,0.505266,0.662542,0.772542
surface_only,0.80-0.85,4908,0.867767,0.116839,0.398175,0.73667,0.82142
surface_only,0.85-0.90,1591,0.894406,0.094774,0.338713,0.791495,0.868892
surface_only,0.90-0.95,300,0.92,0.073631,0.279006,0.849783,0.916228
surface_only,0.95-1.00,12,1.0,0.001582,0.039821,0.960993,0.960993
