model,surface,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
blend_60_40,carpet,2314,0.640882,0.221346,0.633581,0.540642,0.584247
blend_60_40,clay,98357,0.641886,0.220086,0.629873,0.548216,0.605627
blend_60_40,grass,5421,0.598598,0.233819,0.659416,0.526065,0.574918
blend_60_40,hard,120898,0.64035,0.220987,0.63173,0.547685,0.606652
blend_70_30,carpet,2314,0.646067,0.219657,0.629743,0.544767,0.593142
blend_70_30,clay,98357,0.642466,0.219832,0.629266,0.54898,0.607027
blend_70_30,grass,5421,0.602287,0.233203,0.658026,0.528432,0.581316
blend_70_30,hard,120898,0.64097,0.220736,0.631146,0.548409,0.607868
blend_80_20,carpet,2314,0.647364,0.218364,0.626703,0.548744,0.602159
blend_80_20,clay,98357,0.6421,0.219797,0.629109,0.549699,0.608936
blend_80_20,grass,5421,0.60487,0.232918,0.657356,0.530707,0.588212
blend_80_20,hard,120898,0.640581,0.220668,0.630941,0.549096,0.609528
level_only,carpet,2314,0.648228,0.216835,0.622895,0.556225,0.620002
level_only,clay,98357,0.640178,0.220346,0.63012,0.551003,0.614226
level_only,grass,5421,0.603948,0.233228,0.658073,0.534965,0.602678
level_only,hard,120898,0.639217,0.221049,0.631649,0.550368,0.614152
level_only,unknown,94,0.776596,0.168585,0.514544,0.629956,0.684781
sample_aware,carpet,2314,0.649092,0.216762,0.622682,0.555504,0.617724
sample_aware,clay,98357,0.641764,0.219699,0.628853,0.549837,0.609352
sample_aware,grass,5421,0.602841,0.233062,0.65752,0.532882,0.596071
sample_aware,hard,120898,0.641971,0.220559,0.630651,0.5491,0.609352
surface_only,carpet,2314,0.581245,0.241033,0.674662,0.513486,0.545512
surface_only,clay,98357,0.623972,0.226109,0.642968,0.542731,0.607376
surface_only,grass,5421,0.560413,0.245539,0.68397,0.51032,0.556494
surface_only,hard,120898,0.624617,0.226282,0.643199,0.542611,0.608106
