model,min_level_matches,min_surface_matches,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
blend_60_40,0,0,226990,0.640024,0.220906,0.631605,0.547327,0.605221
blend_60_40,0,3,185508,0.64491,0.21936,0.628295,0.550573,0.612111
blend_60_40,0,5,168942,0.645044,0.219231,0.627977,0.551269,0.614194
blend_60_40,0,10,139499,0.642535,0.219777,0.629088,0.551373,0.616448
blend_60_40,0,20,101993,0.638789,0.221297,0.632347,0.549871,0.616618
blend_60_40,0,30,77094,0.63433,0.222638,0.635224,0.54823,0.615695
blend_60_40,0,50,45211,0.62894,0.224472,0.639321,0.545764,0.61395
blend_60_40,3,0,190650,0.646525,0.218846,0.627192,0.551093,0.612117
blend_60_40,3,3,176730,0.646376,0.218793,0.627044,0.5517,0.614149
blend_60_40,3,5,161700,0.646456,0.218685,0.626775,0.55234,0.61608
blend_60_40,3,10,134135,0.643561,0.219345,0.628125,0.552283,0.618137
blend_60_40,3,20,98488,0.639662,0.220906,0.631476,0.550695,0.61816
blend_60_40,3,30,74658,0.63519,0.22231,0.634496,0.548952,0.617109
blend_60_40,3,50,43870,0.629132,0.224277,0.638878,0.546339,0.615344
blend_60_40,5,0,175369,0.64764,0.218428,0.626266,0.552145,0.614457
blend_60_40,5,3,165185,0.647456,0.218367,0.626103,0.552665,0.616095
blend_60_40,5,5,157370,0.647353,0.218374,0.626092,0.552909,0.616961
blend_60_40,5,10,131103,0.644348,0.219071,0.627518,0.552788,0.618904
blend_60_40,5,20,96413,0.640225,0.220711,0.631037,0.551105,0.618865
blend_60_40,5,30,73206,0.63574,0.222154,0.634142,0.549303,0.617767
blend_60_40,5,50,43130,0.629515,0.224193,0.638688,0.546604,0.61597
blend_60_40,10,0,147740,0.648538,0.217984,0.625236,0.553572,0.617914
blend_60_40,10,3,141892,0.648268,0.217937,0.625103,0.553936,0.618977
blend_60_40,10,5,137671,0.648227,0.217915,0.625038,0.554136,0.619563
blend_60_40,10,10,124221,0.646871,0.218242,0.6257,0.554078,0.620406
blend_60_40,10,20,91929,0.641974,0.22005,0.629577,0.552192,0.620252
blend_60_40,10,30,69947,0.637154,0.221617,0.632952,0.550237,0.619075
blend_60_40,10,50,41385,0.630349,0.223858,0.637943,0.547295,0.617137
blend_60_40,20,0,110572,0.647497,0.218032,0.625258,0.554329,0.620692
blend_60_40,20,3,107967,0.647188,0.218039,0.625253,0.554502,0.621265
blend_60_40,20,5,106078,0.647165,0.218025,0.625211,0.554622,0.621607
blend_60_40,20,10,100297,0.64649,0.218224,0.625608,0.55461,0.622153
blend_60_40,20,20,83744,0.645073,0.21881,0.626873,0.554125,0.622459
blend_60_40,20,30,64051,0.639397,0.220566,0.63064,0.551973,0.621268
blend_60_40,20,50,38081,0.6321,0.223102,0.636285,0.548598,0.618923
blend_60_40,30,0,84920,0.64662,0.218049,0.625227,0.554602,0.621747
blend_60_40,30,3,83495,0.646362,0.218055,0.625229,0.554714,0.622112
blend_60_40,30,5,82416,0.64644,0.218016,0.625135,0.554829,0.622355
blend_60_40,30,10,79164,0.645647,0.218248,0.625612,0.554724,0.622738
blend_60_40,30,20,70299,0.64439,0.218697,0.626556,0.554399,0.623056
blend_60_40,30,30,58413,0.641826,0.219544,0.628366,0.553478,0.622798
blend_60_40,30,50,35025,0.633405,0.222683,0.635327,0.549435,0.620288
blend_60_40,50,0,50532,0.644681,0.218616,0.626497,0.554271,0.622525
blend_60_40,50,3,49946,0.644176,0.218713,0.626694,0.554246,0.622741
blend_60_40,50,5,49499,0.644417,0.218622,0.626486,0.554404,0.622946
blend_60_40,50,10,48238,0.643746,0.218835,0.626929,0.554267,0.623182
blend_60_40,50,20,44855,0.643139,0.219044,0.627366,0.554129,0.623333
blend_60_40,50,30,40589,0.64212,0.219493,0.628318,0.553664,0.623312
blend_60_40,50,50,29168,0.639811,0.220763,0.631199,0.552214,0.622875
blend_70_30,0,0,226990,0.640746,0.220631,0.630959,0.548142,0.60672
blend_70_30,0,3,185508,0.645654,0.21916,0.627817,0.551283,0.613401
blend_70_30,0,5,168942,0.645884,0.219036,0.627516,0.551961,0.615412
blend_70_30,0,10,139499,0.643646,0.219603,0.628684,0.552016,0.617561
blend_70_30,0,20,101993,0.639926,0.221105,0.631918,0.550516,0.617719
blend_70_30,0,30,77094,0.635445,0.222466,0.634853,0.548875,0.616906
blend_70_30,0,50,45211,0.630378,0.224321,0.639012,0.546435,0.615359
blend_70_30,3,0,190650,0.647606,0.218448,0.626284,0.552126,0.613977
blend_70_30,3,3,176730,0.647411,0.218459,0.62628,0.552617,0.615775
blend_70_30,3,5,161700,0.647594,0.218369,0.626057,0.553221,0.61762
blend_70_30,3,10,134135,0.644865,0.219066,0.627497,0.553093,0.619547
blend_70_30,3,20,98488,0.640951,0.220628,0.630862,0.551476,0.61951
blend_70_30,3,30,74658,0.636355,0.222063,0.633964,0.549718,0.618554
blend_70_30,3,50,43870,0.630613,0.224049,0.638408,0.547131,0.616988
blend_70_30,5,0,175369,0.648706,0.218011,0.625315,0.553228,0.616413
blend_70_30,5,3,165185,0.64854,0.217995,0.625255,0.553654,0.617839
blend_70_30,5,5,157370,0.648523,0.218019,0.625286,0.553859,0.618613
blend_70_30,5,10,131103,0.645637,0.218757,0.626812,0.55366,0.620419
blend_70_30,5,20,96413,0.641449,0.2204,0.630351,0.551941,0.620305
blend_70_30,5,30,73206,0.636751,0.221884,0.633557,0.550112,0.619288
blend_70_30,5,50,43130,0.630652,0.223961,0.638206,0.547417,0.617676
blend_70_30,10,0,147740,0.649844,0.217554,0.624259,0.554708,0.619983
blend_70_30,10,3,141892,0.649712,0.217529,0.624178,0.555006,0.620869
blend_70_30,10,5,137671,0.649752,0.21751,0.624124,0.555186,0.621386
blend_70_30,10,10,124221,0.648353,0.21787,0.624864,0.55505,0.622076
blend_70_30,10,20,91929,0.643453,0.219691,0.628783,0.55311,0.621822
blend_70_30,10,30,69947,0.638298,0.2213,0.632263,0.55112,0.620699
blend_70_30,10,50,41385,0.631606,0.223569,0.63734,0.54818,0.61891
blend_70_30,20,0,110572,0.649396,0.217613,0.624305,0.555461,0.622757
blend_70_30,20,3,107967,0.649235,0.217617,0.6243,0.555604,0.623209
blend_70_30,20,5,106078,0.649296,0.217595,0.624243,0.55572,0.623505
blend_70_30,20,10,100297,0.648624,0.217801,0.624659,0.55567,0.623946
blend_70_30,20,20,83744,0.647187,0.218391,0.625941,0.55514,0.624143
blend_70_30,20,30,64051,0.641098,0.220178,0.629789,0.552954,0.622972
blend_70_30,20,50,38081,0.634096,0.222746,0.635533,0.549567,0.620758
blend_70_30,30,0,84920,0.648387,0.217641,0.624289,0.555711,0.62378
blend_70_30,30,3,83495,0.648314,0.217633,0.624269,0.555811,0.624052
blend_70_30,30,5,82416,0.648406,0.217581,0.624149,0.55593,0.624264
blend_70_30,30,10,79164,0.647592,0.217817,0.624635,0.555797,0.624566
blend_70_30,30,20,70299,0.646297,0.218253,0.62556,0.555453,0.624797
blend_70_30,30,30,58413,0.643367,0.219128,0.627444,0.554494,0.62453
blend_70_30,30,50,35025,0.634889,0.222328,0.634563,0.550406,0.622143
blend_70_30,50,0,50532,0.646224,0.218264,0.625683,0.555278,0.624426
blend_70_30,50,3,49946,0.645878,0.218344,0.62585,0.555249,0.624573
blend_70_30,50,5,49499,0.646154,0.21823,0.625595,0.555425,0.624759
blend_70_30,50,10,48238,0.645549,0.218435,0.626027,0.555276,0.624931
blend_70_30,50,20,44855,0.644967,0.218585,0.62634,0.55517,0.625002
blend_70_30,50,30,40589,0.643746,0.219031,0.627296,0.554705,0.624974
blend_70_30,50,50,29168,0.641491,0.220336,0.630276,0.553225,0.624592
blend_80_20,0,0,226990,0.640456,0.220559,0.630735,0.548915,0.608687
blend_80_20,0,3,185508,0.645137,0.21918,0.627799,0.551951,0.615225
blend_80_20,0,5,168942,0.645618,0.219068,0.627532,0.55261,0.617192
blend_80_20,0,10,139499,0.643582,0.219668,0.628785,0.552615,0.619285
blend_80_20,0,20,101993,0.639946,0.221158,0.632009,0.551119,0.61946
blend_80_20,0,30,77094,0.63573,0.222539,0.635,0.54948,0.618777
blend_80_20,0,50,45211,0.63113,0.224408,0.639209,0.547068,0.61739
blend_80_20,3,0,190650,0.647784,0.218259,0.625817,0.553115,0.616314
blend_80_20,3,3,176730,0.647411,0.218331,0.625953,0.553492,0.617895
blend_80_20,3,5,161700,0.647743,0.218268,0.625791,0.55406,0.619682
blend_80_20,3,10,134135,0.645156,0.219013,0.627349,0.553861,0.621528
blend_80_20,3,20,98488,0.641357,0.220583,0.630745,0.552217,0.621468
blend_80_20,3,30,74658,0.636904,0.22205,0.63393,0.550445,0.620624
blend_80_20,3,50,43870,0.631867,0.224048,0.638426,0.547887,0.619224
blend_80_20,5,0,175369,0.649077,0.217805,0.624814,0.554267,0.618855
blend_80_20,5,3,165185,0.64877,0.217831,0.62485,0.554601,0.620078
blend_80_20,5,5,157370,0.648872,0.217873,0.624923,0.554767,0.620768
blend_80_20,5,10,131103,0.646087,0.218662,0.626573,0.554492,0.622485
blend_80_20,5,20,96413,0.64203,0.220317,0.630151,0.552738,0.622329
blend_80_20,5,30,73206,0.637502,0.221841,0.633459,0.550883,0.621409
blend_80_20,5,50,43130,0.632043,0.223949,0.638201,0.548193,0.619947
blend_80_20,10,0,147740,0.650338,0.217343,0.623746,0.555797,0.622546
blend_80_20,10,3,141892,0.650149,0.217334,0.623707,0.556031,0.62326
blend_80_20,10,5,137671,0.650297,0.217317,0.62366,0.556192,0.623709
blend_80_20,10,10,124221,0.648932,0.217707,0.624473,0.555982,0.624254
blend_80_20,10,20,91929,0.644106,0.219547,0.628448,0.553989,0.623929
blend_80_20,10,30,69947,0.639027,0.221197,0.632032,0.551965,0.622877
blend_80_20,10,50,41385,0.632935,0.22349,0.637189,0.549029,0.621209
blend_80_20,20,0,110572,0.649911,0.217419,0.623834,0.556546,0.625326
blend_80_20,20,3,107967,0.649828,0.217415,0.623817,0.556661,0.625658
blend_80_20,20,5,106078,0.650003,0.217382,0.623739,0.556774,0.625903
blend_80_20,20,10,100297,0.649431,0.217587,0.624156,0.556688,0.626228
