model,min_level_matches,min_surface_matches,pick_prob_threshold,matches,accuracy,brier,log_loss,avg_pick_prob,avg_winner_prob
blend_80_20,10,5,0.5,137671,0.650297,0.217317,0.62366,0.623709,0.556192
blend_80_20,10,5,0.52,123598,0.664906,0.21364,0.615836,0.636654,0.562531
blend_80_20,10,5,0.55,103005,0.688937,0.206778,0.601195,0.657009,0.574367
blend_80_20,10,5,0.57,90188,0.705815,0.201318,0.589498,0.670792,0.583736
blend_80_20,10,5,0.6,72332,0.731156,0.191872,0.569088,0.692038,0.600046
blend_80_20,10,5,0.62,61415,0.748189,0.184683,0.553391,0.706653,0.612536
blend_80_20,10,5,0.65,46842,0.773323,0.172766,0.527006,0.729072,0.633484
blend_80_20,10,5,0.67,38545,0.791516,0.163644,0.506591,0.743964,0.649204
blend_80_20,10,5,0.7,27991,0.81687,0.149505,0.474279,0.76639,0.674179
blend_80_20,10,5,0.72,21951,0.832673,0.13969,0.451251,0.781951,0.692144
blend_80_20,10,5,0.75,14870,0.853531,0.125474,0.416863,0.804669,0.719164
blend_80_20,10,5,0.8,6820,0.895308,0.095773,0.342706,0.842166,0.772421
