model,surface,min_level_matches,min_surface_matches,pick_prob_threshold,matches,accuracy,brier,log_loss,avg_pick_prob,avg_winner_prob
blend_80_20,carpet,10,5,0.5,329,0.647416,0.220287,0.632032,0.620007,0.551013
blend_80_20,clay,10,5,0.5,60184,0.649691,0.217445,0.623937,0.622643,0.55571
blend_80_20,grass,10,5,0.5,1892,0.631078,0.228384,0.647977,0.60794,0.540053
blend_80_20,hard,10,5,0.5,75266,0.651277,0.216923,0.622791,0.624974,0.557006
blend_80_20,carpet,10,5,0.52,292,0.660959,0.216647,0.624538,0.633974,0.557336
blend_80_20,clay,10,5,0.52,54007,0.664525,0.213756,0.61609,0.635536,0.562032
blend_80_20,grass,10,5,0.52,1674,0.639188,0.225715,0.642385,0.620613,0.545104
blend_80_20,hard,10,5,0.52,67625,0.665863,0.213235,0.614939,0.637956,0.563383
blend_80_20,carpet,10,5,0.55,252,0.686508,0.211226,0.613393,0.649581,0.566351
blend_80_20,clay,10,5,0.55,44874,0.687882,0.206892,0.601432,0.656025,0.573883
blend_80_20,grass,10,5,0.55,1330,0.659398,0.220336,0.631063,0.642803,0.555535
blend_80_20,hard,10,5,0.55,56549,0.690481,0.206349,0.600251,0.658157,0.57523
blend_80_20,carpet,10,5,0.57,225,0.702222,0.207056,0.604793,0.660427,0.573405
blend_80_20,clay,10,5,0.57,39213,0.705761,0.201247,0.589352,0.669868,0.583443
blend_80_20,grass,10,5,0.57,1118,0.678891,0.21537,0.620613,0.658489,0.564716
blend_80_20,hard,10,5,0.57,49632,0.70648,0.201031,0.588842,0.671846,0.584443
blend_80_20,carpet,10,5,0.6,179,0.726257,0.198865,0.587813,0.680217,0.587619
blend_80_20,clay,10,5,0.6,31343,0.732125,0.191516,0.568344,0.691245,0.600063
blend_80_20,grass,10,5,0.6,866,0.698614,0.208461,0.605876,0.67988,0.578256
blend_80_20,hard,10,5,0.6,39944,0.731124,0.19176,0.56879,0.692977,0.60056
blend_80_20,carpet,10,5,0.62,148,0.75,0.191112,0.571743,0.694862,0.600457
blend_80_20,clay,10,5,0.62,26509,0.749557,0.184116,0.552186,0.706089,0.612839
blend_80_20,grass,10,5,0.62,712,0.69382,0.207438,0.60315,0.695085,0.584617
blend_80_20,hard,10,5,0.62,34046,0.748252,0.18462,0.553209,0.707385,0.612937
blend_80_20,carpet,10,5,0.65,107,0.747664,0.187774,0.564447,0.71784,0.612725
blend_80_20,clay,10,5,0.65,20130,0.775112,0.171924,0.525183,0.728742,0.634146
blend_80_20,grass,10,5,0.65,518,0.727799,0.195353,0.5772,0.717878,0.605678
blend_80_20,hard,10,5,0.65,26087,0.772952,0.172907,0.527262,0.729595,0.63361
blend_80_20,carpet,10,5,0.67,82,0.756098,0.182428,0.553159,0.736167,0.625872
blend_80_20,clay,10,5,0.67,16540,0.793168,0.16275,0.504633,0.743688,0.649934
blend_80_20,grass,10,5,0.67,393,0.753181,0.18493,0.554449,0.736134,0.624129
blend_80_20,hard,10,5,0.67,21530,0.791082,0.163871,0.507045,0.744349,0.64919
blend_80_20,carpet,10,5,0.7,58,0.810345,0.161256,0.509142,0.757595,0.657065
blend_80_20,clay,10,5,0.7,11971,0.820483,0.147661,0.470251,0.766308,0.675937
blend_80_20,grass,10,5,0.7,268,0.757463,0.180646,0.54366,0.760985,0.640334
blend_80_20,hard,10,5,0.7,15694,0.815152,0.150335,0.476037,0.766578,0.67348
blend_80_20,carpet,10,5,0.72,44,0.772727,0.176844,0.54325,0.771819,0.648786
blend_80_20,clay,10,5,0.72,9387,0.837115,0.137392,0.44622,0.781847,0.694334
blend_80_20,grass,10,5,0.72,198,0.767677,0.174564,0.529076,0.77907,0.655931
blend_80_20,hard,10,5,0.72,12322,0.830547,0.140748,0.453505,0.782113,0.691212
blend_80_20,carpet,10,5,0.75,24,0.791667,0.169748,0.531954,0.801723,0.672435
blend_80_20,clay,10,5,0.75,6349,0.85667,0.123652,0.412823,0.804651,0.7209
blend_80_20,grass,10,5,0.75,121,0.785124,0.163435,0.501621,0.807856,0.683436
blend_80_20,hard,10,5,0.75,8376,0.852316,0.126181,0.41837,0.804646,0.718497
blend_80_20,carpet,10,5,0.8,10,0.8,0.175939,0.561509,0.835282,0.687111
blend_80_20,clay,10,5,0.8,2976,0.896505,0.095119,0.34162,0.840771,0.772025
blend_80_20,grass,10,5,0.8,55,0.890909,0.097638,0.344457,0.849153,0.775573
blend_80_20,hard,10,5,0.8,3779,0.894681,0.096049,0.342957,0.843182,0.772912
