confidence,api_match_id,api_event_key,date,gender,api_level,api_surface,api_tourney_name,api_winner,api_loser,sackmann_match_id,sackmann_level,sackmann_surface,sackmann_tourney_name,sackmann_winner,sackmann_loser,match_key
medium,api_tennis:12132327,12132327,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,A. Azkara,M. Alkaya,sackmann:men:2026-3089:362:207907:207368,challenger,hard,Centurion 2 CH,Arda Azkara,Mert Alkaya,men|2026-06-01|azkara|alkaya
medium,api_tennis:12132329,12132329,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,M. Gonzalez Fernandez,L. Castelnuovo,sackmann:men:2026-3089:360:208605:132573,challenger,hard,Centurion 2 CH,Mario Gonzalez Fernandez,Luca Castelnuovo,men|2026-06-01|fernandez|castelnuovo
medium,api_tennis:12132330,12132330,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,S. Pankin,L. Koenig,sackmann:men:2026-3089:369:208431:209879,challenger,hard,Centurion 2 CH,Semen Pankin,Luc Koenig,men|2026-06-01|pankin|koenig
medium,api_tennis:12132331,12132331,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,H. Mayot,Y. Takahashi,sackmann:men:2026-3089:370:208004:126208,challenger,hard,Centurion 2 CH,Harold Mayot,Yusuke Takahashi,men|2026-06-01|mayot|takahashi
medium,api_tennis:12132339,12132339,2026-06-01,men,challenger,clay,Prostejov,T. Boyer,F. C. Jianu,sackmann:men:2026-0558:369:207729:202262,challenger,clay,Prostejov CH,Tristan Boyer,Filip Cristian Jianu,men|2026-06-01|boyer|jianu
medium,api_tennis:12132341,12132341,2026-06-01,men,challenger,clay,Prostejov,L. Midon,Z. Kolar,sackmann:men:2026-0558:363:210510:144645,challenger,clay,Prostejov CH,Lautaro Midon,Zdenek Kolar,men|2026-06-01|midon|kolar
medium,api_tennis:12132346,12132346,2026-06-01,men,challenger,clay,Prostejov,A. Shevchenko,R. Brancaccio,sackmann:men:2026-0558:366:207686:134840,challenger,clay,Prostejov CH,Alexander Shevchenko,Raul Brancaccio,men|2026-06-01|shevchenko|brancaccio
medium,api_tennis:12132347,12132347,2026-06-01,men,challenger,clay,Prostejov,P. Boscardin Dias,Y. Watanuki,sackmann:men:2026-0558:368:208046:133297,challenger,clay,Prostejov CH,Pedro Boscardin Dias,Yosuke Watanuki,men|2026-06-01|dias|watanuki
medium,api_tennis:12132388,12132388,2026-06-01,men,challenger,clay,Perugia,D. Merida Aguilar,G. Cadenasso,sackmann:men:2026-9001:359:210017:211533,challenger,clay,Perugia CH,Daniel Merida Aguilar,Gianluca Cadenasso ,men|2026-06-01|aguilar|cadenasso
medium,api_tennis:12132389,12132389,2026-06-01,men,challenger,clay,Perugia,M. Cecchinato,I. Simakin,sackmann:men:2026-9001:369:106065:209899,challenger,clay,Perugia CH,Marco Cecchinato,Ilia Simakin,men|2026-06-01|cecchinato|simakin
