priority_rank,priority,api_player_key,api_player_id,api_name,gender,mapping_status,api_source_match_count,example_index,date,tournament,level,surface,round,result_side,opponent_key,opponent_name,opponent_mapped,score,api_event_key,source_file,candidate_action,candidate_count,top_candidates,search_query_hint
0,safe_candidate,men:api:29714,29714,S. D'Agostino,men,unmapped,7,1,2026-06-14,M15 Kursumlijska Banja 4,itf,clay,M15 Kursumlijska Banja 4 - Final,loser,men:api:382,S. Cuenin,no,2 - 0,12136624,2026-06-14.json,safe_override,1,men:sackmann:208806 | Stefano Dagostino | score=0.975 | safe_override,S. D'Agostino S. Cuenin M15 Kursumlijska Banja 4 2026-06-14 2 - 0
0,safe_candidate,men:api:29714,29714,S. D'Agostino,men,unmapped,7,2,2026-06-13,M15 Kursumlijska Banja 4,itf,clay,M15 Kursumlijska Banja 4 - Semi-finals,winner,men:api:61814,C. Cordoba,no,1 - 2,12136308,2026-06-13.json,safe_override,1,men:sackmann:208806 | Stefano Dagostino | score=0.975 | safe_override,S. D'Agostino C. Cordoba M15 Kursumlijska Banja 4 2026-06-13 1 - 2
0,safe_candidate,men:api:29714,29714,S. D'Agostino,men,unmapped,7,3,2026-06-12,M15 Kursumlijska Banja 4,qualifying,clay,M15 Kursumlijska Banja 4 - Quarter-finals,winner,men:api:70094,C. Giraldi,no,2 - 1,12136081,2026-06-12.json,safe_override,1,men:sackmann:208806 | Stefano Dagostino | score=0.975 | safe_override,S. D'Agostino C. Giraldi M15 Kursumlijska Banja 4 2026-06-12 2 - 1
0,safe_candidate,men:api:39003,39003,V. Dell'Elba,men,unmapped,1,1,2026-06-10,M15 Curtea de Arges,itf,clay,M15 Curtea de Arges - 1/16-finals,loser,men:api:58948,F. Bidan,no,2 - 1,12135241,2026-06-10.json,safe_override,1,men:sackmann:202217 | Vito Dellelba | score=0.975 | safe_override,V. Dell'Elba F. Bidan M15 Curtea de Arges 2026-06-10 2 - 1
0,safe_candidate,women:api:17,17,F. Dell'Edera,women,unmapped,2,1,2026-06-01,Foggia (Italy),challenger,clay,Foggia - Final,loser,women:api:13793,A. Prisacariu,no,2 - 0,12132555,2026-06-01.json,safe_override,1,women:sackmann:214974 | Francesca Delledera | score=0.975 | safe_override,F. Dell'Edera A. Prisacariu Foggia (Italy) 2026-06-01 2 - 0
0,safe_candidate,women:api:17,17,F. Dell'Edera,women,unmapped,2,2,2026-05-27,W15 Monastir 15,itf,hard,W15 Monastir 15 - 1/16-finals,loser,women:api:102570,G. Mais,no,2 - 0,12131161,2026-05-27.json,safe_override,1,women:sackmann:214974 | Francesca Delledera | score=0.975 | safe_override,F. Dell'Edera G. Mais W15 Monastir 15 2026-05-27 2 - 0
1,high_level,men:api:100794,100794,N. Belozertsev,men,unmapped,5,1,2026-06-12,M15 Nyiregyhaza,qualifying,clay,M15 Nyiregyhaza - Quarter-finals,loser,men:api:13694,J. Sperle,no,2 - 0,12136086,2026-06-12.json,no_candidate,1,,N. Belozertsev J. Sperle M15 Nyiregyhaza 2026-06-12 2 - 0
1,high_level,men:api:100794,100794,N. Belozertsev,men,unmapped,5,2,2026-06-11,M15 Nyiregyhaza,itf,clay,M15 Nyiregyhaza - 1/8-finals,winner,men:api:38169,L. Wiedenmann,no,2 - 1,12135853,2026-06-11.json,no_candidate,1,,N. Belozertsev L. Wiedenmann M15 Nyiregyhaza 2026-06-11 2 - 1
1,high_level,men:api:100794,100794,N. Belozertsev,men,unmapped,5,3,2026-06-10,M15 Nyiregyhaza,itf,clay,M15 Nyiregyhaza - 1/16-finals,winner,men:api:58390,A. Jilly,no,0 - 2,12134921,2026-06-10.json,no_candidate,1,,N. Belozertsev A. Jilly M15 Nyiregyhaza 2026-06-10 0 - 2
1,high_level,men:api:101032,101032,S. Azam,men,unmapped,3,1,2026-05-31,French Open,grand_slam,clay,Boys French Open - 1/32-finals,loser,men:api:78985,J. Mackenzie,no,1 - 2,12132182,2026-05-31.json,no_candidate,1,,S. Azam J. Mackenzie French Open 2026-05-31 1 - 2
1,high_level,men:api:101032,101032,S. Azam,men,unmapped,3,2,2026-05-29,French Open,grand_slam,clay,Boys French Open - Final,winner,men:api:76358,L. Yunez,no,2 - 0,12131880,2026-05-29.json,no_candidate,1,,S. Azam L. Yunez French Open 2026-05-29 2 - 0
