match_id,date,gender,level,surface,tournament,winner_api_key,winner_name,winner_mapping_status,winner_sackmann_key,loser_api_key,loser_name,loser_mapping_status,loser_sackmann_key,coverage
api_tennis:12134162,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:1317,M. Damm,auto_mapped,men:sackmann:102093,men:api:1243,M. Houkes,auto_mapped,men:sackmann:208069,both_mapped
api_tennis:12134163,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:420,J. P. Ficovich,auto_mapped,men:sackmann:126663,men:api:13374,T. Loof,auto_mapped,men:sackmann:209925,both_mapped
api_tennis:12134165,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:14641,N. Visker,auto_mapped,men:sackmann:208253,men:api:2839,M. McDonald,auto_mapped,men:sackmann:111456,both_mapped
api_tennis:12134166,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:1771,B. Bonzi,auto_mapped,men:sackmann:126127,men:api:2735,M. Polmans,auto_mapped,men:sackmann:117360,both_mapped
api_tennis:12134167,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:3145,B. Tomic,auto_mapped,men:sackmann:106071,men:api:10019,A. Deckers,auto_mapped,men:sackmann:207793,both_mapped
api_tennis:12134168,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:39928,S. Jong,auto_mapped,men:sackmann:210093,men:api:1880,S. Mochizuki,auto_mapped,men:sackmann:208278,both_mapped
api_tennis:12134169,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:1882,J. McCabe,auto_mapped,men:sackmann:210317,men:api:2227,C. Wong,auto_mapped,men:sackmann:209409,both_mapped
api_tennis:12134170,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:1746,M. Huesler,auto_mapped,men:sackmann:144817,men:api:424,N. Basilashvili,auto_mapped,men:sackmann:105932,both_mapped
api_tennis:12134172,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:416,J. Rodionov,auto_mapped,men:sackmann:200514,men:api:2220,L. Castelnuovo,auto_mapped,men:sackmann:132573,both_mapped
api_tennis:12134173,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:9608,S. Shimabukuro,auto_mapped,men:sackmann:200647,men:api:742,S. Sakellaridis,auto_mapped,men:sackmann:208852,both_mapped
api_tennis:12134174,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:1748,P. Herbert,auto_mapped,men:sackmann:105732,men:api:780,D. Glinka,auto_mapped,men:sackmann:206750,both_mapped
api_tennis:12134175,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:557,A. Galarneau,auto_mapped,men:sackmann:200008,men:api:867,Y. H. Hsu,auto_mapped,men:sackmann:200318,both_mapped
api_tennis:12134176,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:1057,R. Safiullin,auto_mapped,men:sackmann:126128,men:api:14515,P. Bar Biryukov,auto_mapped,men:sackmann:209951,both_mapped
api_tennis:12134178,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:1962,J. Garland,auto_mapped,women:sackmann:220466,women:api:54738,B. Du Pree,auto_mapped,women:sackmann:264228,both_mapped
api_tennis:12134179,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:451,L. Zhu,manual_mapped,women:sackmann:202684,women:api:38969,C. Y. Lee,auto_mapped,women:sackmann:221803,both_mapped
api_tennis:12134180,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:2191,G. Minnen,auto_mapped,women:sackmann:213889,women:api:499,V. Tomova,auto_mapped,women:sackmann:202600,both_mapped
api_tennis:12134181,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:2415,E. Seidel,auto_mapped,women:sackmann:230870,women:api:509,C. Liu,auto_mapped,women:sackmann:214906,both_mapped
api_tennis:12134182,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:9254,H. Vandewinkel,auto_mapped,women:sackmann:243420,women:api:171,M. Barthel,auto_mapped,women:sackmann:201621,both_mapped
api_tennis:12134183,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:2826,K. Volynets,auto_mapped,women:sackmann:220465,women:api:465,N. Hibino,auto_mapped,women:sackmann:211702,both_mapped
api_tennis:12134184,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:13375,A. Koevermans,auto_mapped,women:sackmann:222017,women:api:2250,A. Vrancken Peeters,auto_mapped,women:sackmann:259758,both_mapped
api_tennis:12134185,2026-06-06,women,atp_wta,grass,Hertogenbosch,women:api:2123,R. Montgomery,auto_mapped,women:sackmann:221905,women:api:1112,Y. Yuan,auto_mapped,women:sackmann:206294,both_mapped
api_tennis:12134202,2026-06-06,men,atp_wta,clay,Stuttgart,men:api:818,G. Onclin,auto_mapped,men:sackmann:206904,men:api:4053,O. Luz,auto_mapped,men:sackmann:126197,both_mapped
api_tennis:12134206,2026-06-06,men,atp_wta,grass,Hertogenbosch,men:api:1082,E. Ymer,auto_mapped,men:sackmann:111200,men:api:78369,M. Visser,auto_mapped,men:sackmann:213829,both_mapped
