verdict,api_player_key,api_name,api_full_name,api_short_name,api_country_raw,api_country_code,api_bday,api_birth_year,sackmann_player_key,sackmann_name,sackmann_country_code,sackmann_birth_date,sackmann_birth_year,sackmann_approx_birth_year,sackmann_hand,sackmann_height,name_match_type,candidate_rows_found,reason
CHECK,men:api:100794,,,,,,,,men:sackmann:212756,Nikita Bilozertsev,UKR,,,2008,U,,,0,API player not found in api_players cache.
CHECK,men:api:1250,,,,,,,,men:sackmann:209060,Alexander Bernard,USA,,,2003,L,175,,0,API player not found in api_players cache.
CHECK,men:api:14613,,,,,,,,men:sackmann:210331,Alessandro Spadola,ITA,,,2003,L,178,,0,API player not found in api_players cache.
CHECK,men:api:15252,,,,,,,,men:sackmann:209999,Leonardo Malgaroli,ITA,,,2002,U,,,0,API player not found in api_players cache.
CHECK,men:api:17463,,,,,,,,men:sackmann:210464,Darwin Blanch,USA,,,2008,L,185,,0,API player not found in api_players cache.
CHECK,men:api:1926,,,,,,,,men:sackmann:200615,Alexei Popyrin,AUS,,,1999,R,196,,0,API player not found in api_players cache.
CHECK,men:api:2838,,,,,,,,men:sackmann:206909,Brandon Nakashima,USA,,,2001,R,188,,0,API player not found in api_players cache.
CHECK,men:api:28511,,,,,,,,men:sackmann:210733,Arthur Bonnaud,FRA,,,1997,L,175,,0,API player not found in api_players cache.
CHECK,men:api:35791,,,,,,,,men:sackmann:211706,Batiste Guerra,SUI,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:38777,,,,,,,,men:sackmann:210749,Andrea M'Chich,FRA,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:421,,,,,,,,men:sackmann:106331,Christopher Oconnell,AUS,,,1994,R,183,,0,API player not found in api_players cache.
CHECK,men:api:52069,,,,,,,,men:sackmann:210629,Alejandro Juan Mano,ESP,,,2005,U,,,0,API player not found in api_players cache.
CHECK,men:api:54466,,,,,,,,men:sackmann:212256,Colton Smith,USA,,,2003,U,,,0,API player not found in api_players cache.
CHECK,men:api:5673,,,,,,,,men:sackmann:200713,Federico Iannaccone,ITA,,,1999,R,183,,0,API player not found in api_players cache.
CHECK,men:api:57239,,,,,,,,men:sackmann:211524,Abel Forger,NED,,,2005,R,,,0,API player not found in api_players cache.
CHECK,men:api:590,,,,,,,,men:sackmann:111190,Zhizhen Zhang,CHN,,,1996,R,193,,0,API player not found in api_players cache.
CHECK,men:api:5909,,,,,,,,men:sackmann:126505,Antoine Walch,FRA,,,1993,U,,,0,API player not found in api_players cache.
CHECK,men:api:61814,,,,,,,,men:sackmann:213059,Carles Cordoba,ESP,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:69525,,,,,,,,men:sackmann:212990,Alejandro Jacome Jaramillo,ECU,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:69711,,,,,,,,men:sackmann:213015,Aleksandar Daskalovic,GBR,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:71815,,,,,,,,men:sackmann:212749,Andres Santamarta Roig,ESP,,,2007,R,,,0,API player not found in api_players cache.
CHECK,men:api:72052,,,,,,,,men:sackmann:213097,Alvaro Jimenez,ESP,,,,U,,,0,API player not found in api_players cache.
CHECK,men:api:7498,,,,,,,,men:sackmann:207893,Daniel De Jonge,NED,,,1999,U,,,0,API player not found in api_players cache.
CHECK,men:api:778,,,,,,,,men:sackmann:208265,Pierre Delage,FRA,,,2001,R,198,,0,API player not found in api_players cache.
CHECK,men:api:80068,,,,,,,,men:sackmann:213760,Pavel Lagutin,RUS,,,2005,U,,,0,API player not found in api_players cache.
CHECK,men:api:8129,,,,,,,,men:sackmann:208051,Axel Nefve,USA,,,2000,L,193,,0,API player not found in api_players cache.
CHECK,men:api:8442,,,,,,,,men:sackmann:208859,Francesco Passaro,ITA,,,2001,R,180,,0,API player not found in api_players cache.
CHECK,men:api:851,,,,,,,,men:sackmann:206867,Tommaso Compagnucci,ITA,,,2000,R,173,,0,API player not found in api_players cache.
CHECK,men:api:9514,,,,,,,,men:sackmann:209860,Ignacio Buse,PER,,,2004,R,185,,0,API player not found in api_players cache.
CHECK,women:api:104082,,,,,,,,women:sackmann:260046,Sophia Webster,USA,,,2005,U,,,0,API player not found in api_players cache.
CHECK,women:api:10909,,,,,,,,women:sackmann:260171,Hayu Kinoshita,JPN,,,2006,U,,,0,API player not found in api_players cache.
CHECK,women:api:11480,,,,,,,,women:sackmann:216180,Zoziya Kardava,RUS,,,2001,R,,,0,API player not found in api_players cache.
