api_player_key,api_name,gender,mapping_status,priority,impact_total_matches,impact_atp_wta,impact_grand_slam,impact_challenger,impact_itf,impact_qualifying,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,suggested_action,suggested_override_json
men:api:100794,N. Belozertsev,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:101032,S. Azam,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102651,M. Bekeni,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:10295,S. Shin,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102953,G. L. Zajc,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102954,N. M. Becirovic,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:10296,D. J. Kim,men,ambiguous,low,,,,,,,1,men:sackmann:207456,Dong Ju Kim,46,0.975,0.0,multi_initial_surname,manual_review,
men:api:10296,D. J. Kim,men,ambiguous,low,,,,,,,2,men:sackmann:212974,Dongmin Kim,3,0.975,,exact_initial_form,candidate,
men:api:10296,D. J. Kim,men,ambiguous,low,,,,,,,3,men:sackmann:212613,Diego Quispe Kim,2,0.975,,exact_initial_form,candidate,
men:api:10296,D. J. Kim,men,ambiguous,low,,,,,,,4,men:sackmann:214605,Dongjae Kim,1,0.975,,exact_initial_form,candidate,
men:api:10296,D. J. Kim,men,ambiguous,low,,,,,,,5,men:sackmann:211556,Dae Han Kim,1,0.975,,exact_initial_form,candidate,
men:api:102960,L. Soares,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102985,X. Massotte,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102986,M. Vukovic,men,unmapped,low,,,,,,,1,men:sackmann:202295,Luka Vukovic,1,0.708571,0.708571,same_last,weak_candidate,
men:api:102987,T. Kawaguchi,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102989,E. Giurescu,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102990,A. Dubreuil,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102991,C. Thies,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:102992,N. Raghuram,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103005,B. Moxon,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103006,N. Bartolucci,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103050,K. Akkocaoglu,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103296,R. Valetov,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103306,M. Liszka,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:10334,Y. Mochizuki,men,ambiguous,low,,,,,,,1,men:sackmann:200661,Yuki Mochizuki,137,0.975,0.0,exact_initial_form,manual_review,
men:api:10334,Y. Mochizuki,men,ambiguous,low,,,,,,,2,men:sackmann:211460,Yuki Mochizuki,39,0.975,,exact_initial_form,candidate,
men:api:103415,M. Lorincik,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103450,J. Fabre,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103493,A. Baybars,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103608,Y. Baluska,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103609,T. Miranda,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103642,G. Pistoia,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103669,J. Cunha,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103670,M. Henrique,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103671,H. Nelson,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103704,Y. C. Yang,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103731,D. Yigin,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103737,A. Tiutchenko,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103753,L. Klaus,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103754,P. Hermoso,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103757,A. G. Torres,men,unmapped,low,,,,,,,1,men:sackmann:208426,Tiago Torres,79,0.749091,0.04052,same_last,weak_candidate,
men:api:103757,A. G. Torres,men,unmapped,low,,,,,,,2,men:sackmann:214045,Ryan Torres,2,0.708571,,same_last,candidate,
men:api:103758,L. G. Felisberto,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103798,J. Coudret,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103831,L. Tombolini,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:103836,J. McGloughlin,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:10508,P. A. Saraiva Dos Santos,men,ambiguous,low,,,,,,,1,men:sackmann:208063,Paulo Andre Saraiva Dos Santos,177,0.975,0.0,multi_initial_surname,manual_review,
men:api:10508,P. A. Saraiva Dos Santos,men,ambiguous,low,,,,,,,2,men:sackmann:212876,Pedro Andre De Almeida Santos,10,0.975,,multi_initial_surname,candidate,
men:api:1056,A. Martin,men,ambiguous,low,,,,,,,1,men:sackmann:211346,Andres Martin,171,0.975,0.0,exact_initial_form,manual_review,
men:api:1056,A. Martin,men,ambiguous,low,,,,,,,2,men:sackmann:105413,Andrej Martin,111,0.975,,exact_initial_form,candidate,
men:api:1056,A. Martin,men,ambiguous,low,,,,,,,3,men:sackmann:126533,Alvaro Lopez San Martin,67,0.975,,exact_initial_form,candidate,
men:api:1056,A. Martin,men,ambiguous,low,,,,,,,4,men:sackmann:202297,Dan Martin,160,0.8,,same_last,candidate,
men:api:1062,Wu Tung-Lin,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:10849,C. H. van Schalkwyk,men,ambiguous,low,,,,,,,1,men:sackmann:210227,Connor Henry Van Schalkwyk,11,0.975,0.0,multi_initial_surname,manual_review,
men:api:10849,C. H. van Schalkwyk,men,ambiguous,low,,,,,,,2,men:sackmann:213358,Codie Schalk Van Schalkwyk,3,0.975,,exact_initial_form,candidate,
men:api:11182,M. Efstathiou,men,ambiguous,low,,,,,,,1,men:sackmann:213713,Melios Efstathiou,74,0.975,0.0,exact_initial_form,manual_review,
men:api:11182,M. Efstathiou,men,ambiguous,low,,,,,,,2,men:sackmann:144949,Menelaos Efstathiou,45,0.975,,exact_initial_form,candidate,
men:api:11781,P. Dev S D,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:1200,M. Sasikumar,men,unmapped,low,,,,,,,,,,,,,,no_candidate,
men:api:1270,H. Liu,men,ambiguous,low,,,,,,,1,men:sackmann:207343,Hanyi Liu,108,0.975,0.0,exact_initial_form,manual_review,
