api_player_key,api_name,gender,mapping_status,api_matches_in_source,levels,surfaces,sample_tournaments
men:api:7078,Ja. Delaney,men,ambiguous,13,"{""itf"": 10, ""qualifying"": 3}","{""clay"": 5, ""hard"": 8}","{""M15 Karuizawa"": 5, ""M15 Harmon"": 5, ""M15 Tokyo"": 3}"
men:api:1056,A. Martin,men,ambiguous,12,"{""challenger"": 11, ""qualifying"": 1}","{""clay"": 10, ""hard"": 2}","{""Bratislava"": 4, ""Kosice"": 3, ""Prostejov"": 3, ""Tyler"": 2}"
women:api:5683,J. Wang,women,ambiguous,12,"{""itf"": 10, ""qualifying"": 2}","{""hard"": 12}","{""W35 Wuning 2 (China)"": 6, ""W50 Wuning"": 5, ""W100 Wuning (China)"": 1}"
women:api:53951,L. Ma,women,ambiguous,10,"{""itf"": 8, ""qualifying"": 2}","{""hard"": 10}","{""W35 Decatur, IL"": 5, ""W35 Wichita, KS"": 3, ""W100 Sumter"": 2}"
men:api:796,Y. Bu,men,unmapped,10,"{""challenger"": 8, ""qualifying"": 2}","{""grass"": 10}","{""Birmingham"": 5, ""Ilkley"": 5}"
women:api:13411,A. Zolotareva,women,ambiguous,9,"{""itf"": 7, ""qualifying"": 2}","{""clay"": 9}","{""W15 Kursumlijska Banja 3"": 5, ""W15 Kursumlijska Banja 4"": 4}"
women:api:56997,Huang Yujia,women,unmapped,9,"{""itf"": 7, ""qualifying"": 2}","{""hard"": 9}","{""W100 Wuning (China)"": 5, ""W50 Wuning"": 3, ""W35 Wuning 2 (China)"": 1}"
men:api:590,Z. Zhang,men,ambiguous,9,"{""atp_wta"": 2, ""challenger"": 5, ""grand_slam"": 1, ""qualifying"": 1}","{""clay"": 1, ""grass"": 8}","{""Birmingham"": 3, ""Hertogenbosch"": 3, ""Nottingham"": 2, ""French Open"": 1}"
men:api:55858,D. Dedura,men,unmapped,8,"{""atp_wta"": 2, ""challenger"": 4, ""qualifying"": 2}","{""clay"": 7, ""grass"": 1}","{""Heilbronn"": 4, ""Vicenza"": 2, ""Stuttgart"": 1, ""Halle"": 1}"
men:api:10296,D. J. Kim,men,ambiguous,8,"{""itf"": 6, ""qualifying"": 2}","{""hard"": 8}","{""M15 Gimcheon 2"": 5, ""M15 Maanshan 5"": 3}"
men:api:1270,H. Liu,men,ambiguous,8,"{""itf"": 6, ""qualifying"": 2}","{""hard"": 8}","{""M15 Luan 3"": 5, ""M15 Maanshan 5"": 3}"
men:api:2851,S. Johnson,men,ambiguous,8,"{""itf"": 6, ""qualifying"": 2}","{""hard"": 8}","{""M15 Lakewood, CA"": 4, ""M15 Los Angeles, CA"": 4}"
women:api:1384,Y. Yang,women,ambiguous,8,"{""itf"": 6, ""qualifying"": 2}","{""hard"": 8}","{""W35 Wuning 2 (China)"": 3, ""W50 Wuning"": 3, ""W100 Wuning (China)"": 2}"
women:api:1122,A. Tikhonova,women,ambiguous,7,"{""itf"": 6, ""qualifying"": 1}","{""clay"": 3, ""grass"": 4}","{""W50 Hurghada (Egypt)"": 4, ""W75 Caserta"": 2, ""W75 Zaragoza (Spain)"": 1}"
men:api:1314,D. Blanch,men,ambiguous,7,"{""challenger"": 5, ""qualifying"": 2}","{""clay"": 7}","{""Kosice"": 4, ""Lyon"": 3}"
men:api:567,E. Nava,men,ambiguous,7,"{""challenger"": 6, ""qualifying"": 1}","{""clay"": 7}","{""Heilbronn"": 5, ""Bratislava"": 2}"
women:api:39077,H. Sato,women,ambiguous,7,"{""itf"": 6, ""qualifying"": 1}","{""hard"": 7}","{""W15 Tokyo"": 5, ""W35 Wuning 2 (China)"": 2}"
men:api:9221,J. A. Rodriguez,men,ambiguous,7,"{""challenger"": 6, ""qualifying"": 1}","{""clay"": 7}","{""San Miguel de Tucuman"": 7}"
