api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,reason
women:api:52629,52629,Aleksandra Pozarenko,api_cache_full_name,women,missing_mapping_entry,1,Elza Tomase,Elza Tomase,W15 Kursumlijska Banja 7,W15 Kursumlijska Banja 7,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:9221,9221,Alexander Rodriguez Johan,api_cache_full_name,men,unmapped,1,Matheus Pucinelli de Almeida,Matheus Pucinelli de Almeida,Quito,Quito,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
women:api:101165,101165,Amelie Brooks,api_cache_full_name,women,missing_mapping_entry,1,Sara Cakarevic,Sara Cakarevic,W35 Amstelveen,W35 Amstelveen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:62411,62411,Amirkhamza Nasridinov,api_cache_full_name,men,missing_mapping_entry,1,Fanming Meng,Fanming Meng,M15 Wuning 4 (China),M15 Wuning 4 (China),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:21946,21946,Anastasia Mozgaleva,api_cache_full_name,women,missing_mapping_entry,1,Ying Ruan Zi,Ying Ruan Zi,W15 Kursumlijska Banja 7,W15 Kursumlijska Banja 7,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:10502,10502,Andre Galarraga Mario,api_cache_full_name,men,missing_mapping_entry,1,Hernan Casanova,Hernan Casanova,Quito,Quito,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:9130,9130,B. Berger,api_cache_short_name,men,missing_mapping_entry,1,Maxwell Exsted,Maxwell Exsted,"M15 San Diego, CA","M15 San Diego, CA",Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:39540,39540,Carla Markus,api_cache_full_name,women,missing_mapping_entry,1,Lian Tran,Lian Tran,W35 Amstelveen,W35 Amstelveen,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:51278,51278,Charlie Robertson,api_cache_full_name,men,missing_mapping_entry,1,Alec Deckers,Alec Deckers,M15 Hillcrest,M15 Hillcrest,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:104450,104450,D. Lokotkova,api_cache_short_name,women,unmapped,1,Katja Wiersholm,Katja Wiersholm,W15 Kayseri 7,W15 Kayseri 7,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:104629,104629,D. Makarski,api_cache_short_name,men,missing_mapping_entry,1,Nikita Ianin,Nikita Ianin,M15 Monastir 25,M15 Monastir 25,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:28,28,Dimitra Pavlou,api_cache_full_name,women,missing_mapping_entry,1,Adithya Karunaratne,Adithya Karunaratne,W15 Kursumlijska Banja 7,W15 Kursumlijska Banja 7,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:22255,22255,Dimitris Azoidis,api_cache_full_name,men,unmapped,1,Rafael Giotis,Rafael Giotis,M15 Kayseri 7,M15 Kayseri 7,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:103886,103886,E. M. Garay,api_cache_short_name,men,unmapped,1,Luka Talan Lopatic,Luka Talan Lopatic,M15 Getxo,M15 Getxo,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:28889,28889,E. Youri,api_cache_short_name,women,missing_mapping_entry,1,R. D. le,R. D. le,W15 Hillcrest,W15 Hillcrest,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:82994,82994,F. Peet,api_cache_short_name,women,missing_mapping_entry,1,R. Bredenkamp,R. Bredenkamp,W15 Hillcrest,W15 Hillcrest,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:378,378,Facundo Mena,api_cache_full_name,men,missing_mapping_entry,1,Valerio Aboian,Valerio Aboian,Quito,Quito,Challenger Men Singles,Challenger Men Singles,no_sackmann_candidate
men:api:104631,104631,H. Jutresa,api_cache_short_name,men,missing_mapping_entry,1,J. Gnjidic,J. Gnjidic,M15 Umag,M15 Umag,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:104619,104619,I. Borlee,api_cache_short_name,men,missing_mapping_entry,1,Niklas Schell,Niklas Schell,M25 Nivelles (Belgium),M25 Nivelles (Belgium),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:70750,70750,I. Wong,api_cache_short_name,women,missing_mapping_entry,1,Mika Buchnik,Mika Buchnik,W15 Hillcrest,W15 Hillcrest,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
women:api:51431,51431,Ines Leon,api_cache_full_name,women,missing_mapping_entry,1,Iva Ivanova,Iva Ivanova,W35 Aix-Les-Bains (France),W35 Aix-Les-Bains (France),Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:104630,104630,J. Gnjidic,api_cache_short_name,men,missing_mapping_entry,1,H. Jutresa,H. Jutresa,M15 Umag,M15 Umag,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
women:api:78075,78075,J. Schilz,api_cache_short_name,women,missing_mapping_entry,1,Elena Jamshidi,Elena Jamshidi,W15 Hillcrest,W15 Hillcrest,Itf Women Singles,Itf Women Singles,no_sackmann_candidate
men:api:73016,73016,Joao Portugal,api_cache_full_name,men,missing_mapping_entry,1,Rodrigo Leal,Rodrigo Leal,M25 Figueira da Foz,M25 Figueira da Foz,Itf Men Singles,Itf Men Singles,no_sackmann_candidate
men:api:88313,88313,Justin Lenders,api_cache_full_name,men,missing_mapping_entry,1,Timeo Trufelli,Timeo Trufelli,M25 Nivelles (Belgium),M25 Nivelles (Belgium),Itf Men Singles,Itf Men Singles,no_sackmann_candidate
