api_player_key,api_raw_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
women:api:4363,4363,A. Aksu,women,missing_mapping_entry,1,A. S. Sanchez,Figueira Da Foz (Portugal) - Qualification,Challenger Women Singles,,,,,,
men:api:53732,53732,A. Blus,men,unmapped,1,N. Gombos,Poznan,Challenger Men Singles,,,,,,
men:api:2188,2188,A. Huertas Del Pino Cordova,men,unmapped,1,G. Ribeiro de Almeida,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
women:api:123,123,A. S. Sanchez,women,ambiguous,1,A. Aksu,Figueira Da Foz (Portugal) - Qualification,Challenger Women Singles,women:sackmann:204419,Ana Sofia Sanchez,0.935947,,initial_surname,"{""women:api:123"": ""women:sackmann:204419""}"
women:api:17346,17346,A. Smith,women,ambiguous,1,V. Ryser,Figueira Da Foz (Portugal) - Qualification,Challenger Women Singles,women:sackmann:220673,Alana Smith,0.974977,,exact_initial_form,"{""women:api:17346"": ""women:sackmann:220673""}"
women:api:13987,13987,A. Sobolieva,women,unmapped,1,K. Deichmann,Brescia (Italy) - Qualification,Challenger Women Singles,,,,,,
men:api:101550,101550,Amarandei/ Iemmi,men,missing_mapping_entry,1,Caruso/ Spadola,"M25 Milano (Italy), Clay",Itf Men - Doubles,,,,,,
women:api:55585,55585,Antigua and Barbuda W,women,missing_mapping_entry,1,Barbados W,Billie Jean King Cup - Group III Teams,Teams Women,,,,,,
men:api:91414,91414,Arce Fernandez/ Talavera Cortes,men,missing_mapping_entry,1,Cordoba/ Planella Hernandez,M15 Mungia-Laukariz,Itf Men Doubles,,,,,,
men:api:67800,67800,Baldisserri/ Perfetti,men,missing_mapping_entry,1,Fellin/ Mirarchi,"M25 Milano (Italy), Clay",Itf Men - Doubles,,,,,,
women:api:29830,29830,Barbados W,women,missing_mapping_entry,1,Antigua and Barbuda W,Billie Jean King Cup - Group III Teams,Teams Women,,,,,,
men:api:103799,103799,Bergs/ Bublik,men,missing_mapping_entry,1,Melo/ Zverev,Halle,Atp Doubles,,,,,,
men:api:24644,24644,Bhambri/ Venus,men,missing_mapping_entry,1,De Minaur/ Norrie,London,Atp Doubles,,,,,,
men:api:63765,63765,Bondioli/ Caniato,men,missing_mapping_entry,1,Passaro/ Vasami,Parma,Challenger Men Doubles,,,,,,
