api_player_key,raw_api_player_key,api_name,gender,mapping_status,today_match_count,opponents_today,event_names,event_type_types,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json
men:api:1056,1056,A. Martin,men,manual_unmapped,2,A. Burdet | M. Farzam,"M25 Klosters | M25 Tulsa, OK",Itf Men Singles,,,,,,
men:api:2407,2407,G. A. Olivieri,men,unmapped,2,A. Shevchenko | M. H. Rehberg,Poznan,Challenger Men Singles,,,,,,
women:api:69065,69065,A. I. Anghel,women,unmapped,1,H. Shaikh,W50 Haskovo (Bulgaria),Itf Women Singles,,,,,,
men:api:103890,103890,A. Kothari,men,missing_mapping_entry,1,M. Murtaza,M15 Kayseri 5,Itf Men Singles,,,,,,
men:api:74738,74738,A. S. Nunez Vera,men,missing_mapping_entry,1,T. Seyboth Wild,Asuncion 2 (Paraguay) - Qualification,Challenger Men Singles,,,,,,
men:api:103889,103889,B. S. Takacs,men,missing_mapping_entry,1,A. Forger,M15 Gyula,Itf Men Singles,,,,,,
women:api:73134,73134,B. Straszewska,women,missing_mapping_entry,1,I. Wawrzkiewicz,W35 Bolszewo (Poland),Itf Women Singles,,,,,,
men:api:24283,24283,C. A. Caniato,men,unmapped,1,M. Cecchinato,Parma,Challenger Men Singles,,,,,,
women:api:28104,28104,C. A. Herea,women,unmapped,1,L. M. Cinalli,W35 San Gregorio 4 (Italy),Itf Women Singles,,,,,,
men:api:67686,67686,C. G. Papoe,men,unmapped,1,V. Gonzalez-Galino,M15 Constanta,Itf Men Singles,,,,,,
men:api:389,389,C. H. Tseng,men,unmapped,1,J. C. Martin Manzano,Parma,Challenger Men Singles,,,,,,
women:api:103893,103893,C. Konuralp,women,missing_mapping_entry,1,S. Bielinska,W15 Kayseri 5,Itf Women Singles,,,,,,
women:api:89411,89411,C. Lesdos,women,missing_mapping_entry,1,C. Noel,W15 Dinard,Itf Women Singles,,,,,,
women:api:68666,68666,C. N. Todoni,women,unmapped,1,D. Simionescu,W15 Bucharest 2,Itf Women Singles,,,,,,
women:api:88830,88830,C. Narti,women,missing_mapping_entry,1,Z. Ulrich,W15 Dinard,Itf Women Singles,,,,,,
men:api:85563,85563,C. Rojas,men,missing_mapping_entry,1,E. Villoslada,M15 Mungia-Laukariz,Itf Men Singles,,,,,,
women:api:1049,1049,C. Y. Tsao,women,unmapped,1,S. Hosogi,W35 Taipei,Itf Women Singles,,,,,,
women:api:55115,55115,C. Zanolini,women,missing_mapping_entry,1,S. Van Emst,W35 Ystad,Itf Women Singles,,,,,,
men:api:1735,1735,D. E. Galan,men,unmapped,1,Z. Piros,Parma,Challenger Men Singles,,,,,,
