api_player_key,api_raw_player_key,api_name,gender,mapping_status,issue,reason,today_match_count,opponents_today,event_names,event_type_types,rank,sackmann_player_key,sackmann_name,sackmann_matches,score,margin,method,candidate_sources,first_seen_date,last_seen_date,example_tournament,suggested_action,suggested_override_json
women:api:1358,,Anne-Christine Lutkemeyer,women,unmapped,,,1,N. Weng,W15 Claremont,Itf Women Singles,1,women:sackmann:260042,Anne Christine Lutkemeyer Obregon,192,0.868966,0.868966,initial_surname_raw,source_manifest:48;source_sackmann_jsonl:48;canonical_jsonl:48;raw_sackmann_csv:48,2023-01-02,20260525,W15 Lakewood CA,weak_candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,1,women:sackmann:216133,Xin Yu Wang,784,0.975,0.0,exact_initial_form_raw,source_manifest:196;source_sackmann_jsonl:196;canonical_jsonl:196;raw_sackmann_csv:196,2023-01-02,20260525,Berlin,manual_review,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,2,women:sackmann:216016,Xiyu Wang,690,0.975,,exact_initial_form_raw,raw_sackmann_csv:174;source_manifest:172;source_sackmann_jsonl:172;canonical_jsonl:172,2023-01-02,20260525,Roland Garros,candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,3,women:sackmann:252491,Xin Tong Wang,156,0.975,,exact_initial_form_raw,source_manifest:39;source_sackmann_jsonl:39;canonical_jsonl:39;raw_sackmann_csv:39,2023-06-05,20260525,W15 Tianjin,candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,4,women:sackmann:264050,Xinyi Wang,12,0.975,,exact_initial_form_raw,source_manifest:3;source_sackmann_jsonl:3;canonical_jsonl:3;raw_sackmann_csv:3,2023-05-22,20230619,W15 Kursumlijska Banja,candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,5,women:sackmann:270213,Xiaotong Wang,12,0.975,,exact_initial_form_raw,source_manifest:3;source_sackmann_jsonl:3;canonical_jsonl:3;raw_sackmann_csv:3,2025-08-25,20260309,W15 Luan,candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,6,women:sackmann:264088,Xuetong Wang,4,0.975,,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2023-06-05,20230605,W25 Luzhou,candidate,
women:api:1812,,Xinyu Wang,women,ambiguous,,,1,Leylah Fernandez,Bad Homburg,Wta Singles,7,women:sackmann:215045,Xinyu Jiang,180,0.705714,,same_initial_raw,source_manifest:45;source_sackmann_jsonl:45;canonical_jsonl:45;raw_sackmann_csv:45,2023-02-06,20250924,W25 Incheon,candidate,
women:api:84923,,Y. Tsai,women,ambiguous,,,1,Kayo Nishimura,W35 Taipei 2,Itf Women Singles,1,women:sackmann:267855,Yu Ning Tsai,32,0.975,0.0,exact_initial_form_raw,source_manifest:8;source_sackmann_jsonl:8;canonical_jsonl:8;raw_sackmann_csv:8,2024-06-17,20260406,W35 Taipei,manual_review,
women:api:84923,,Y. Tsai,women,ambiguous,,,1,Kayo Nishimura,W35 Taipei 2,Itf Women Singles,2,women:sackmann:265621,Yu Chin Tsai,13,0.975,,exact_initial_form_raw,canonical_jsonl:7;source_manifest:2;source_sackmann_jsonl:2;raw_sackmann_csv:2,2023-06-12,2024-06-17,W15 Hilton Head SC,candidate,
women:api:84923,,Y. Tsai,women,ambiguous,,,1,Kayo Nishimura,W35 Taipei 2,Itf Women Singles,3,women:sackmann:264178,Yu Chin Tsai,12,0.975,,exact_initial_form_raw,source_manifest:4;source_sackmann_jsonl:4;raw_sackmann_csv:4,2023-06-12,20230619,W25 Tainan,candidate,
women:api:84923,,Y. Tsai,women,ambiguous,,,1,Kayo Nishimura,W35 Taipei 2,Itf Women Singles,4,women:sackmann:267856,Yu Yun Tsai,8,0.975,,exact_initial_form_raw,source_manifest:2;source_sackmann_jsonl:2;canonical_jsonl:2;raw_sackmann_csv:2,2024-06-24,20240624,W35 Taipei,candidate,
women:api:84923,,Y. Tsai,women,ambiguous,,,1,Kayo Nishimura,W35 Taipei 2,Itf Women Singles,5,women:sackmann:260705,Yu Chin Tsai,3,0.975,,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;raw_sackmann_csv:1,2024-06-17,20240617,W35 Taipei,candidate,
women:api:126,,Yexin Ma,women,ambiguous,,,1,Erika Andreeva,Wimbledon,Wta Singles,1,women:sackmann:215946,Ye Xin Ma,912,0.975,0.0,exact_initial_form_raw,source_manifest:228;source_sackmann_jsonl:228;canonical_jsonl:228;raw_sackmann_csv:228,2023-01-02,20260601,W75 Brisbane,manual_review,
women:api:126,,Yexin Ma,women,ambiguous,,,1,Erika Andreeva,Wimbledon,Wta Singles,2,women:sackmann:263143,Yinong Ma,4,0.975,,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2023-01-30,20230130,W15 Sharm ElSheikh,candidate,
women:api:104273,,A. Colic,women,missing_mapping_entry,,no_sackmann_candidate,1,G. Djurickovic,W15 Kursumlijska Banja 6,Itf Women Singles,,,,,,,,,,,,no_candidate,
women:api:92058,,A. Donnell,women,missing_mapping_entry,,no_sackmann_candidate,1,Eva Lopez,W15 Monastir 19,Itf Women Singles,1,women:sackmann:269829,Anna Donnell,4,0.975,0.975,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2024-10-14,20241014,W15 Sant Vicenc de Torello (Barcelona),safe_override,"{""women:api:92058"": ""women:sackmann:269829""}"
men:api:10859,,Alessio Basile,men,missing_mapping_entry,,no_sackmann_candidate,1,Robert Strombachs,M25 Brussels,Itf Men Singles,1,men:sackmann:211450,Alessio Basile,160,1.0,1.0,exact_normalized_raw,source_manifest:40;source_sackmann_jsonl:40;canonical_jsonl:40;raw_sackmann_csv:40,2023-06-12,20251124,M25 Koksijde,safe_override,"{""men:api:10859"": ""men:sackmann:211450""}"
women:api:21360,,Amelie Van Impe,women,missing_mapping_entry,,no_sackmann_candidate,1,Anastasiya Kuparev,W15 Alkmaar,Itf Women Singles,1,women:sackmann:228909,Amelie Van Impe,576,1.0,1.0,exact_normalized_raw,source_manifest:144;source_sackmann_jsonl:144;canonical_jsonl:144;raw_sackmann_csv:144,2023-01-09,20260406,W15 Antalya,safe_override,"{""women:api:21360"": ""women:sackmann:228909""}"
women:api:218,,Anna Siskova,women,missing_mapping_entry,,no_sackmann_candidate,1,Darja Semenistaja,Wimbledon,Wta Singles,1,women:sackmann:216074,Anna Siskova,664,1.0,0.293478,exact_normalized_raw,source_manifest:167;source_sackmann_jsonl:167;raw_sackmann_csv:167;canonical_jsonl:163,2023-01-09,20260511,W15 Sharm ElSheikh,safe_override,"{""women:api:218"": ""women:sackmann:216074""}"
women:api:218,,Anna Siskova,women,missing_mapping_entry,,no_sackmann_candidate,1,Darja Semenistaja,Wimbledon,Wta Singles,2,women:sackmann:215383,Eva Siskova,12,0.706522,,same_last_raw,source_manifest:3;source_sackmann_jsonl:3;canonical_jsonl:3;raw_sackmann_csv:3,2023-06-12,20230619,W60 Sumter SC,candidate,
women:api:508,,Arantxa Rus,women,missing_mapping_entry,,no_sackmann_candidate,1,Veronika Podrez,Wimbledon,Wta Singles,1,women:sackmann:201551,Arantxa Rus,942,1.0,1.0,exact_normalized_raw,raw_sackmann_csv:237;source_manifest:235;source_sackmann_jsonl:235;canonical_jsonl:235,2023-01-02,20260504,Roland Garros,safe_override,"{""women:api:508"": ""women:sackmann:201551""}"
men:api:1759,,Arthur Fils,men,missing_mapping_entry,,no_sackmann_candidate,1,Jakub Mensik,Exhibition Boodles Challenge,Exhibition Men,1,men:sackmann:209950,Arthur Fils,804,1.0,1.0,exact_normalized_raw,source_manifest:201;source_sackmann_jsonl:201;canonical_jsonl:201;raw_sackmann_csv:201,2023-01-09,20260506,Barcelona,safe_override,"{""men:api:1759"": ""men:sackmann:209950""}"
men:api:2216,,Arvid Nordquist,men,missing_mapping_entry,,no_sackmann_candidate,1,Xiaoyin Yang,M15 Wuning 3,Itf Men Singles,1,men:sackmann:202345,Arvid Nordquist,280,1.0,1.0,exact_normalized_raw,source_manifest:70;source_sackmann_jsonl:70;canonical_jsonl:70;raw_sackmann_csv:70,2023-02-20,20260504,M15 Santo Domingo,safe_override,"{""men:api:2216"": ""men:sackmann:202345""}"
women:api:85028,,C. Hermanns,women,missing_mapping_entry,,no_sackmann_candidate,1,Ksenia Laskutova,W15 Kayseri 6,Itf Women Singles,1,women:sackmann:267548,Caroline Hermanns,20,0.975,0.975,exact_initial_form_raw,source_manifest:5;source_sackmann_jsonl:5;canonical_jsonl:5;raw_sackmann_csv:5,2024-07-29,20251020,W15 Kayseri,safe_override,"{""women:api:85028"": ""women:sackmann:267548""}"
women:api:27382,,C. Romero,women,missing_mapping_entry,,no_sackmann_candidate,1,Isabella Barrera Aguirre,W15 Asuncion,Itf Women Singles,1,women:sackmann:214713,Camila Romero,608,0.975,0.0,exact_initial_form_raw,source_manifest:152;source_sackmann_jsonl:152;canonical_jsonl:152;raw_sackmann_csv:152,2023-02-13,20260601,W15 Trelew,manual_review,
women:api:27382,,C. Romero,women,missing_mapping_entry,,no_sackmann_candidate,1,Isabella Barrera Aguirre,W15 Asuncion,Itf Women Singles,2,women:sackmann:270303,Carlota Garibay Romero,4,0.975,,exact_initial_form_raw,source_manifest:1;source_sackmann_jsonl:1;canonical_jsonl:1;raw_sackmann_csv:1,2025-10-20,20251020,Queretaro 125,candidate,
