source,reason,duplicate_strategy,date,gender,level,surface,tourney_name,round,api_match_id,api_event_key,winner_api_key,winner_api_name,winner_mapping_status,winner_sackmann_key,winner_sackmann_key_original,loser_api_key,loser_api_name,loser_mapping_status,loser_sackmann_key,loser_sackmann_key_original,sackmann_match_id,canonical_match_id,mapped_winner_key,mapped_loser_key
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129875,12129875,men:api:10070,Adam Walton,auto_mapped,men:sackmann:200443,men:sackmann:200443,men:api:1093,Daniil Medvedev,auto_mapped,men:sackmann:106421,men:sackmann:106421,,tle:f9a25b444e5a7c8b99c53a74,men:sackmann:200443,men:sackmann:106421
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129877,12129877,men:api:2982,Alejandro Tabilo,auto_mapped,men:sackmann:126214,men:sackmann:126214,men:api:1096,Kamil Majchrzak,auto_mapped,men:sackmann:111794,men:sackmann:111794,,tle:02dd63fe82aa3666b959a4a7,men:sackmann:126214,men:sackmann:111794
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129879,12129879,men:api:2072,Jannik Sinner,auto_mapped,men:sackmann:206173,men:sackmann:206173,men:api:1762,Clement Tabur,auto_mapped,men:sackmann:202127,men:sackmann:202127,,tle:b5d5170913716281d60cdf0e,men:sackmann:206173,men:sackmann:202127
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129881,12129881,men:api:2084,Francisco Comesana,auto_mapped,men:sackmann:207681,men:sackmann:207681,men:api:9225,Ethan Quinn,auto_mapped,men:sackmann:210319,men:sackmann:210319,,tle:85ecdd0b8364765f8b6227a1,men:sackmann:207681,men:sackmann:210319
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129882,12129882,men:api:2986,Zachary Svajda,auto_mapped,men:sackmann:208260,men:sackmann:208260,men:api:1926,Alexei Popyrin,auto_mapped,men:sackmann:200615,men:sackmann:200615,,tle:81a0db4dff982fbf13ea95aa,men:sackmann:208260,men:sackmann:200615
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129883,12129883,men:api:8781,Luciano Darderi,auto_mapped,men:sackmann:209260,men:sackmann:209260,men:api:359,Sebastian Ofner,auto_mapped,men:sackmann:124116,men:sackmann:124116,,tle:f2db267c53335c4cac57fc31,men:sackmann:209260,men:sackmann:124116
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129884,12129884,men:api:9217,Daniel Vallejo Adolfo,auto_mapped,men:sackmann:209226,men:sackmann:209226,men:api:1103,Cameron Norrie,auto_mapped,men:sackmann:111815,men:sackmann:111815,,tle:34852a486d2e5e799443139d,men:sackmann:209226,men:sackmann:111815
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129887,12129887,men:api:1906,Stefanos Tsitsipas,auto_mapped,men:sackmann:126774,men:sackmann:126774,men:api:374,Alexandre Muller,auto_mapped,men:sackmann:124186,men:sackmann:124186,,tle:1042ade62fa0a0515a478d8f,men:sackmann:126774,men:sackmann:124186
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129893,12129893,men:api:1083,Vit Kopriva,auto_mapped,men:sackmann:200240,men:sackmann:200240,men:api:2674,Corentin Moutet,auto_mapped,men:sackmann:144895,men:sackmann:144895,,tle:74780e2eb4f7069ea536e14c,men:sackmann:200240,men:sackmann:144895
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129900,12129900,men:api:1192,Matteo Arnaldi,auto_mapped,men:sackmann:208286,men:sackmann:208286,men:api:427,Tallon Griekspoor,auto_mapped,men:sackmann:134868,men:sackmann:134868,,tle:d1af774ab482291782f43e48,men:sackmann:208286,men:sackmann:134868
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129902,12129902,men:api:10520,Learner Tien,auto_mapped,men:sackmann:210530,men:sackmann:210530,men:api:2071,Cristian Garin,auto_mapped,men:sackmann:106426,men:sackmann:106426,,tle:1e23980a4d16424c77d372a8,men:sackmann:210530,men:sackmann:106426
,,,2026-05-26,men,grand_slam,clay,French Open,ATP French Open - 1/64-finals,api_tennis:12129905,12129905,men:api:388,Manuel Cerundolo Juan,auto_mapped,men:sackmann:207678,men:sackmann:207678,men:api:12951,Jacob Fearnley,auto_mapped,men:sackmann:207985,men:sackmann:207985,,tle:1f1543dc09d595c89e65d681,men:sackmann:207678,men:sackmann:207985
