source,reason,duplicate_strategy,date,gender,level,surface,tourney_name,round,api_match_id,api_event_key,winner_api_key,winner_api_name,winner_mapping_status,winner_sackmann_key,winner_sackmann_key_original,loser_api_key,loser_api_name,loser_mapping_status,loser_sackmann_key,loser_sackmann_key_original,sackmann_match_id,sackmann_winner_key,sackmann_loser_key
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132327,12132327,men:api:33897,Arda Azkara,auto_mapped,men:sackmann:207907,men:sackmann:207907,men:api:8972,Mert Alkaya,auto_mapped,men:sackmann:207368,men:sackmann:207368,sackmann:men:2026-3089:362:207907:207368,men:sackmann:207907,men:sackmann:207368
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132329,12132329,men:api:15921,Mario Gonzalez Fernandez,auto_mapped,men:sackmann:208605,men:sackmann:208605,men:api:2220,Luca Castelnuovo,auto_mapped,men:sackmann:132573,men:sackmann:132573,sackmann:men:2026-3089:360:208605:132573,men:sackmann:208605,men:sackmann:132573
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132330,12132330,men:api:54138,Semen Pankin,auto_mapped,men:sackmann:208431,men:sackmann:208431,men:api:14347,Luc Koenig,auto_mapped,men:sackmann:209879,men:sackmann:209879,sackmann:men:2026-3089:369:208431:209879,men:sackmann:208431,men:sackmann:209879
,,date_gender_players,2026-06-01,men,qualifying,hard,Centurion 2 (South Africa) - Qualification,Centurion 2 - 1/16-finals,api_tennis:12132331,12132331,men:api:1189,Harold Mayot,auto_mapped,men:sackmann:208004,men:sackmann:208004,men:api:2508,Yusuke Takahashi,auto_mapped,men:sackmann:126208,men:sackmann:126208,sackmann:men:2026-3089:370:208004:126208,men:sackmann:208004,men:sackmann:126208
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132339,12132339,men:api:9037,Tristan Boyer,auto_mapped,men:sackmann:207729,men:sackmann:207729,men:api:576,Cristian Jianu Filip,auto_mapped,men:sackmann:202262,men:sackmann:202262,sackmann:men:2026-0558:369:207729:202262,men:sackmann:207729,men:sackmann:202262
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132341,12132341,men:api:10018,Lautaro Midon,auto_mapped,men:sackmann:210510,men:sackmann:210510,men:api:384,Zdenek Kolar,auto_mapped,men:sackmann:144645,men:sackmann:144645,sackmann:men:2026-0558:363:210510:144645,men:sackmann:210510,men:sackmann:144645
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132346,12132346,men:api:566,Alexander Shevchenko,auto_mapped,men:sackmann:207686,men:sackmann:207686,men:api:1873,Raul Brancaccio,auto_mapped,men:sackmann:134840,men:sackmann:134840,sackmann:men:2026-0558:366:207686:134840,men:sackmann:207686,men:sackmann:134840
,,date_gender_players,2026-06-01,men,challenger,clay,Prostejov,Prostejov - 1/16-finals,api_tennis:12132347,12132347,men:api:2003,Pedro Boscardin Dias,auto_mapped,men:sackmann:208046,men:sackmann:208046,men:api:1097,Yosuke Watanuki,auto_mapped,men:sackmann:133297,men:sackmann:133297,sackmann:men:2026-0558:368:208046:133297,men:sackmann:208046,men:sackmann:133297
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132388,12132388,men:api:978,Daniel Merida Aguilar,auto_mapped,men:sackmann:210017,men:sackmann:210017,men:api:38798,Gianluca Cadenasso,auto_mapped,men:sackmann:211533,men:sackmann:211533,sackmann:men:2026-9001:359:210017:211533,men:sackmann:210017,men:sackmann:211533
,,date_gender_players,2026-06-01,men,challenger,clay,Perugia,Perugia - 1/16-finals,api_tennis:12132389,12132389,men:api:1095,Marco Cecchinato,auto_mapped,men:sackmann:106065,men:sackmann:106065,men:api:1238,Ilia Simakin,auto_mapped,men:sackmann:209899,men:sackmann:209899,sackmann:men:2026-9001:369:106065:209899,men:sackmann:106065,men:sackmann:209899
