source,reason,duplicate_strategy,date,gender,level,surface,tourney_name,round,api_match_id,api_event_key,winner_api_key,winner_api_name,winner_mapping_status,winner_sackmann_key,winner_sackmann_key_original,loser_api_key,loser_api_name,loser_mapping_status,loser_sackmann_key,loser_sackmann_key_original,sackmann_match_id,winner_sackmann_key,loser_sackmann_key
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:214060,,,,,women:sackmann:222000,,,women:sackmann:214060,women:sackmann:222000
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:214020,,,,,women:sackmann:246477,,,women:sackmann:214020,women:sackmann:246477
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:211225,,,,,women:sackmann:220053,,,women:sackmann:211225,women:sackmann:220053
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:211820,,,,,women:sackmann:214800,,,women:sackmann:211820,women:sackmann:214800
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:223335,,,,,women:sackmann:211846,,,women:sackmann:223335,women:sackmann:211846
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:215459,,,,,women:sackmann:211881,,,women:sackmann:215459,women:sackmann:211881
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:206430,,,,,women:sackmann:204415,,,women:sackmann:206430,women:sackmann:204415
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:206277,,,,,women:sackmann:214060,,,women:sackmann:206277,women:sackmann:214060
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:211225,,,,,women:sackmann:214020,,,women:sackmann:211225,women:sackmann:214020
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:211820,,,,,women:sackmann:223335,,,women:sackmann:211820,women:sackmann:223335
sackmann,duplicate_after_alias,,2023-01-30,,,,,,,,,,,women:sackmann:206430,,,,,women:sackmann:215459,,,women:sackmann:206430,women:sackmann:215459
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:205918,,,,,women:sackmann:211285,,,women:sackmann:205918,women:sackmann:211285
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:213772,,,,,women:sackmann:201399,,,women:sackmann:213772,women:sackmann:201399
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:211779,,,,,women:sackmann:202457,,,women:sackmann:211779,women:sackmann:202457
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:215802,,,,,women:sackmann:205918,,,women:sackmann:215802,women:sackmann:205918
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:215806,,,,,women:sackmann:213772,,,women:sackmann:215806,women:sackmann:213772
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:213576,,,,,women:sackmann:211779,,,women:sackmann:213576,women:sackmann:211779
sackmann,duplicate_after_alias,,2023-05-01,,,,,,,,,,,women:sackmann:220733,,,,,women:sackmann:212043,,,women:sackmann:220733,women:sackmann:212043
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:211328,,,,,women:sackmann:214562,,,women:sackmann:211328,women:sackmann:214562
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:221469,,,,,women:sackmann:216367,,,women:sackmann:221469,women:sackmann:216367
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:214826,,,,,women:sackmann:202464,,,women:sackmann:214826,women:sackmann:202464
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:232447,,,,,women:sackmann:223415,,,women:sackmann:232447,women:sackmann:223415
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:201534,,,,,women:sackmann:213772,,,women:sackmann:201534,women:sackmann:213772
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:203435,,,,,women:sackmann:211881,,,women:sackmann:203435,women:sackmann:211881
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:211328,,,,,women:sackmann:221469,,,women:sackmann:211328,women:sackmann:221469
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:206102,,,,,women:sackmann:214826,,,women:sackmann:206102,women:sackmann:214826
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:232447,,,,,women:sackmann:203562,,,women:sackmann:232447,women:sackmann:203562
sackmann,duplicate_after_alias,,2023-05-15,,,,,,,,,,,women:sackmann:203435,,,,,women:sackmann:201534,,,women:sackmann:203435,women:sackmann:201534
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:201621,,,,,women:sackmann:206403,,,women:sackmann:201621,women:sackmann:206403
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:221985,,,,,women:sackmann:201402,,,women:sackmann:221985,women:sackmann:201402
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:214521,,,,,women:sackmann:215398,,,women:sackmann:214521,women:sackmann:215398
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:220733,,,,,women:sackmann:220532,,,women:sackmann:220733,women:sackmann:220532
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:215983,,,,,women:sackmann:215571,,,women:sackmann:215983,women:sackmann:215571
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:221178,,,,,women:sackmann:221515,,,women:sackmann:221178,women:sackmann:221515
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:221039,,,,,women:sackmann:203521,,,women:sackmann:221039,women:sackmann:203521
sackmann,duplicate_after_alias,,2023-06-12,,,,,,,,,,,women:sackmann:221985,,,,,women:sackmann:201621,,,women:sackmann:221985,women:sackmann:201621
