signal,bucket,picks,wins,losses,hit_rate,stake,profit,roi,avg_tle_prob,avg_tle_edge,avg_last10_win_rate_diff,avg_h2h_diff
all,all,0,0,0,,0,0,,,,,
form_support,supports_pick,0,0,0,,0,0,,,,,
form_support,against_pick,0,0,0,,0,0,,,,,
form_support,neutral_unknown,0,0,0,,0,0,,,,,
h2h_support,supports_pick,0,0,0,,0,0,,,,,
h2h_support,against_pick,0,0,0,,0,0,,,,,
h2h_support,neutral_unknown,0,0,0,,0,0,,,,,
fatigue_flag,has_flag,0,0,0,,0,0,,,,,
fatigue_flag,no_flag,0,0,0,,0,0,,,,,
last10_win_rate_diff,pick_plus_15pct,0,0,0,,0,0,,,,,
last10_win_rate_diff,pick_plus_5_15pct,0,0,0,,0,0,,,,,
last10_win_rate_diff,neutral,0,0,0,,0,0,,,,,
last10_win_rate_diff,opponent_plus_5pct,0,0,0,,0,0,,,,,
last10_win_rate_diff,unknown,0,0,0,,0,0,,,,,
h2h_diff,pick_leads,0,0,0,,0,0,,,,,
h2h_diff,even,0,0,0,,0,0,,,,,
h2h_diff,opponent_leads,0,0,0,,0,0,,,,,
h2h_diff,unknown_no_h2h,0,0,0,,0,0,,,,,
