risk_level,gender,name_norm,display_name,player_key,match_count,country,birth_year,hand,height,recommended_canonical_key,all_player_keys,all_match_counts,all_countries,all_birth_years
MEDIUM,men,aj catanzariti,Aj Catanzariti,men:sackmann:126272,0,USA,1995,U,,men:sackmann:200224,men:sackmann:126272 | men:sackmann:200224,men:sackmann:126272=0 | men:sackmann:200224=0,USA,1995
MEDIUM,men,aj catanzariti,Aj Catanzariti,men:sackmann:200224,0,USA,1995,R,183,men:sackmann:200224,men:sackmann:126272 | men:sackmann:200224,men:sackmann:126272=0 | men:sackmann:200224=0,USA,1995
CHECK,men,alex santino nunez vera,Alex Santino Nunez Vera,men:sackmann:213547,0,PRY,,U,,men:sackmann:213810,men:sackmann:213547 | men:sackmann:213810,men:sackmann:213547=0 | men:sackmann:213810=0,PAR | PRY,2007
CHECK,men,alex santino nunez vera,Alex Santino Nunez Vera,men:sackmann:213810,0,PAR,2007,U,,men:sackmann:213810,men:sackmann:213547 | men:sackmann:213810,men:sackmann:213547=0 | men:sackmann:213810=0,PAR | PRY,2007
MEDIUM,men,amirali ghavam,Amirali Ghavam,men:sackmann:212073,0,IRI,,U,,men:sackmann:212699,men:sackmann:212073 | men:sackmann:212699,men:sackmann:212073=0 | men:sackmann:212699=0,IRI,2006
MEDIUM,men,amirali ghavam,Amirali Ghavam,men:sackmann:212699,0,IRI,2006,U,,men:sackmann:212699,men:sackmann:212073 | men:sackmann:212699,men:sackmann:212073=0 | men:sackmann:212699=0,IRI,2006
MEDIUM,men,angel veliz,Angel Veliz,men:sackmann:213626,0,ECU,2008,U,,men:sackmann:214523,men:sackmann:213626 | men:sackmann:214523,men:sackmann:213626=0 | men:sackmann:214523=0,ECU,2008
MEDIUM,men,angel veliz,Angel Veliz,men:sackmann:214523,0,ECU,2008,U,,men:sackmann:214523,men:sackmann:213626 | men:sackmann:214523,men:sackmann:213626=0 | men:sackmann:214523=0,ECU,2008
MEDIUM,men,benjamin o connell,Benjamin O'Connell,men:sackmann:206736,0,AUS,1999,U,,men:sackmann:213206,men:sackmann:206736 | men:sackmann:213206,men:sackmann:206736=0 | men:sackmann:213206=0,AUS,1999
MEDIUM,men,benjamin o connell,Benjamin O'Connell,men:sackmann:213206,0,AUS,,U,,men:sackmann:213206,men:sackmann:206736 | men:sackmann:213206,men:sackmann:206736=0 | men:sackmann:213206=0,AUS,1999
MEDIUM,men,bruno kuzuhara,Bruno Kuzuhara,men:sackmann:210029,0,USA,2004,R,,men:sackmann:210044,men:sackmann:210029 | men:sackmann:210044,men:sackmann:210029=0 | men:sackmann:210044=0,USA,2004
MEDIUM,men,bruno kuzuhara,Bruno Kuzuhara,men:sackmann:210044,0,USA,2004,R,175,men:sackmann:210044,men:sackmann:210029 | men:sackmann:210044,men:sackmann:210029=0 | men:sackmann:210044=0,USA,2004
MEDIUM,men,carles cordoba,Carles Cordoba,men:sackmann:211719,0,ESP,,U,,men:sackmann:213059,men:sackmann:211719 | men:sackmann:213059,men:sackmann:211719=0 | men:sackmann:213059=0,ESP,
MEDIUM,men,carles cordoba,Carles Cordoba,men:sackmann:213059,0,ESP,,U,,men:sackmann:213059,men:sackmann:211719 | men:sackmann:213059,men:sackmann:211719=0 | men:sackmann:213059=0,ESP,
CHECK,men,chien hsun lo,Chien Hsun Lo,men:sackmann:127187,0,TPE,1999,U,,men:sackmann:213466,men:sackmann:127187 | men:sackmann:213466,men:sackmann:127187=0 | men:sackmann:213466=0,TPE,1998 | 1999
CHECK,men,chien hsun lo,Chien hsun Lo,men:sackmann:213466,0,TPE,1998,R,168,men:sackmann:213466,men:sackmann:127187 | men:sackmann:213466,men:sackmann:127187=0 | men:sackmann:213466=0,TPE,1998 | 1999
MEDIUM,men,christian teszari,Christian Teszari,men:sackmann:211470,0,ROU,,U,,men:sackmann:212615,men:sackmann:211470 | men:sackmann:212615,men:sackmann:211470=0 | men:sackmann:212615=0,ROU,2004
MEDIUM,men,christian teszari,Christian Teszari,men:sackmann:212615,0,ROU,2004,U,,men:sackmann:212615,men:sackmann:211470 | men:sackmann:212615,men:sackmann:211470=0 | men:sackmann:212615=0,ROU,2004
MEDIUM,men,claude ishimwe,Claude Ishimwe,men:sackmann:149276,0,RWA,,U,,men:sackmann:213560,men:sackmann:149276 | men:sackmann:213560,men:sackmann:149276=0 | men:sackmann:213560=0,RWA,
MEDIUM,men,claude ishimwe,Claude Ishimwe,men:sackmann:213560,0,RWA,,U,,men:sackmann:213560,men:sackmann:149276 | men:sackmann:213560,men:sackmann:149276=0 | men:sackmann:213560=0,RWA,
MEDIUM,men,clement kubiak,Clement Kubiak,men:sackmann:212535,0,FRA,,U,,men:sackmann:213101,men:sackmann:212535 | men:sackmann:213101,men:sackmann:212535=0 | men:sackmann:213101=0,FRA,
MEDIUM,men,clement kubiak,Clement Kubiak,men:sackmann:213101,0,FRA,,U,,men:sackmann:213101,men:sackmann:212535 | men:sackmann:213101,men:sackmann:212535=0 | men:sackmann:213101=0,FRA,
MEDIUM,men,connor thomson,Connor Thomson,men:sackmann:207172,0,GBR,2000,R,185,men:sackmann:212287,men:sackmann:207172 | men:sackmann:212287,men:sackmann:207172=0 | men:sackmann:212287=0,GBR,2000
MEDIUM,men,connor thomson,Connor  Thomson,men:sackmann:212287,0,GBR,,U,,men:sackmann:212287,men:sackmann:207172 | men:sackmann:212287,men:sackmann:207172=0 | men:sackmann:212287=0,GBR,2000
MEDIUM,men,daniel leong prickett,Daniel Leong Prickett,men:sackmann:212579,0,MAS,,U,,men:sackmann:212599,men:sackmann:212579 | men:sackmann:212599,men:sackmann:212579=0 | men:sackmann:212599=0,MAS,
MEDIUM,men,daniel leong prickett,Daniel Leong Prickett,men:sackmann:212599,0,MAS,,U,,men:sackmann:212599,men:sackmann:212579 | men:sackmann:212599,men:sackmann:212579=0 | men:sackmann:212599=0,MAS,
MEDIUM,men,denis constantin spiridon,Denis Constantin Spiridon,men:sackmann:211505,0,ITA,2002,U,,men:sackmann:212591,men:sackmann:211505 | men:sackmann:212591,men:sackmann:211505=0 | men:sackmann:212591=0,ITA,2002
